pair,raw_points,kept_points,mean_reproj_err_px,median_angle_deg
frame_001-frame_003,938,0,nan,0.3103916127891883
frame_003-frame_004,913,0,nan,0.44280190949368686
frame_004-frame_005,934,0,nan,0.3633207752083194
frame_005-frame_006,829,0,nan,0.1406181091885853
frame_006-frame_007,862,0,nan,0.2872765193753639
frame_007-frame_008,492,0,nan,0.5153015983470094
frame_008-frame_009,474,0,nan,0.7191648745051992
frame_009-frame_010,540,0,nan,0.9843166775315435
frame_010-frame_011,593,1,1.6099290503079302,1.2124380912340316
frame_011-frame_012,546,176,0.3640791754610791,1.9170018988090778
frame_012-frame_013,636,316,0.4462103252451568,2.001109114225132
frame_013-frame_014,660,0,nan,0.8469479100717168
frame_014-frame_015,612,0,nan,1.2247493481828862
frame_015-frame_016,640,0,nan,1.2708304365317447
frame_016-frame_017,512,21,0.6714058934268474,1.6884025811229713
frame_017-frame_018,532,9,0.8546105902112011,1.4603235797348266
frame_018-frame_019,603,3,0.28803538573203025,0.8914452148481751
frame_019-frame_020,796,8,0.3047565519263959,0.5255940249810812
frame_020-frame_021,733,6,0.29526813612900277,0.13926741530424994
frame_021-frame_022,593,7,0.581396394596689,0.08082491005056276
frame_022-frame_024,302,47,0.5088865617277116,1.771208741108607
frame_024-frame_025,484,289,0.33191793362919353,2.3100166731040077
frame_025-frame_026,497,185,0.37077971988649516,1.8129764754573927
frame_026-frame_027,396,117,0.38087811322778276,1.7213025249449574
frame_027-frame_028,391,59,0.5985760625050958,1.5475205461422674
frame_028-frame_029,583,61,0.36880140852183785,1.3823247597544577
frame_029-frame_030,675,2,0.6995038327903944,1.338947966186189
frame_030-frame_031,439,0,nan,0.9580878458826975
frame_031-frame_032,406,0,nan,0.5170468233396222
frame_032-frame_033,267,0,nan,0.15306347432222156
frame_033-frame_034,430,9,0.08954549095046507,0.16707965368958838
frame_034-frame_035,493,6,0.5392189654206154,0.3927036477414814
frame_035-frame_036,463,0,nan,0.5342049099824902
frame_036-frame_037,711,0,nan,0.7130583225484792
frame_037-frame_038,624,0,nan,1.0027167983201701
frame_038-frame_039,733,216,0.6508532593913838,1.9029963603215554
frame_039-frame_040,221,206,0.4518678143304863,5.5235712538918165
frame_040-frame_041,177,177,0.4133928119680589,8.24328141119906
frame_041-frame_042,748,0,nan,0.15142177084421887
frame_042-frame_043,732,0,nan,0.25160231430394886
frame_043-frame_044,499,0,nan,0.14315137900580052
frame_044-frame_045,588,0,nan,0.15370271662409324
frame_045-frame_046,389,377,0.3642050151841052,3.070708518633495
frame_046-frame_047,406,2,2.240902091012535,1.0053035915848187
frame_047-frame_048,320,0,nan,0.6182398647454364
frame_048-frame_049,497,0,nan,0.790892928702142
frame_049-frame_050,641,8,0.15551014404088082,1.4064540236916672
frame_050-frame_051,601,56,0.4753796596390575,1.6162492359796992
frame_051-frame_052,689,16,1.1219171296721993,1.5993764633415117
frame_052-frame_053,656,2,0.7199223950026826,1.3833904064386142
frame_053-frame_054,818,1,0.0625827483513409,1.2101546046578702
frame_054-frame_055,711,0,nan,0.6547764943824612
frame_055-frame_056,683,6,0.38949278382125346,0.14270316208899297
frame_056-frame_057,594,5,1.1698256885617544,0.2620290759077683
frame_057-frame_058,604,4,0.7928931534376837,0.09558919960051646
frame_058-frame_059,648,7,1.9764182117213336,0.37449882327622885
frame_059-frame_060,602,5,0.9729056900869744,0.3908561351266021
frame_060-frame_062,434,12,0.7579540654270107,0.37789690525371467
frame_062-frame_063,724,0,nan,0.5112959189122308
frame_063-frame_064,578,0,nan,0.484229025757202
frame_064-frame_065,535,0,nan,0.7342489714985577
frame_065-frame_066,630,467,0.3218275756943497,2.230553487341911
frame_066-frame_067,636,291,0.460789770866902,1.9027889886879605
frame_067-frame_068,645,375,0.3795152372210816,2.1260896502022093
frame_068-frame_069,650,560,0.44282857846048695,2.8509008332225476
frame_069-frame_070,615,547,0.584744214538937,3.051423735415592
frame_070-frame_071,555,311,0.5083886996143894,2.099574821823428
frame_071-frame_072,596,0,nan,1.1217994897369608
frame_072-frame_073,693,468,0.6094048755769096,2.153959121948142
