pair,raw_points,kept_points,mean_reproj_err_px,median_angle_deg
frame_001-frame_003,1639,0,nan,0.213194247225492
frame_003-frame_004,1345,0,nan,0.5806800089527879
frame_004-frame_005,1351,0,nan,0.31269959453121304
frame_005-frame_006,1399,0,nan,0.20230247925978337
frame_006-frame_007,1373,0,nan,0.1581159276944973
frame_007-frame_008,649,0,nan,0.2974249342183028
frame_008-frame_009,633,0,nan,0.48215593616500396
frame_009-frame_010,657,0,nan,0.9937216957857217
frame_010-frame_011,661,89,0.8382600338232638,1.6899339837209666
frame_011-frame_012,656,28,0.6243833054102397,1.5498033999236842
frame_012-frame_013,777,435,0.5942553182008202,2.030796840765926
frame_013-frame_014,952,0,nan,0.9148696011319116
frame_014-frame_015,763,37,1.216659617506728,1.4326189083029532
frame_015-frame_016,743,35,0.37119879264217104,1.5321051157180021
frame_016-frame_017,695,357,0.2559351982141058,2.0276936934124117
frame_017-frame_018,725,0,nan,1.369169027260447
frame_018-frame_019,794,11,1.1568104867378963,1.6951436659936245
frame_019-frame_020,975,24,0.8859446526858255,0.21126368712774454
frame_020-frame_021,842,0,nan,0.16917831166102532
frame_021-frame_023,401,11,1.6250942033223579,0.30978618473618563
frame_023-frame_024,834,11,1.1104482671000673,1.2020851071840297
