pair,raw_points,kept_points,mean_reproj_err_px,median_angle_deg
frame_001-frame_003,1855,19,2.713259625895334,0.6282736913682158
frame_003-frame_004,1865,0,nan,0.14432295678124069
frame_004-frame_005,1820,2,0.6823948791871335,0.24997877125016393
frame_005-frame_007,1746,0,nan,0.9973253978471766
frame_007-frame_008,1847,39,1.131079089200742,0.5754978876104855
frame_008-frame_009,1704,25,0.4529012229326428,0.3447739232783038
frame_009-frame_010,1825,6,2.0975752535984635,0.8988453865691212
frame_010-frame_012,1666,2,0.18305758655610221,0.8610658782723911
frame_012-frame_014,1797,25,0.7746074711421556,0.8492332914725473
frame_014-frame_015,1795,2,0.9897143760349925,0.42734806261351155
frame_015-frame_016,1772,0,nan,0.5337644605870568
frame_016-frame_017,1823,30,1.3222640550738998,0.46536893730458534
frame_017-frame_018,1730,4,1.3714936230364017,0.5487251667305028
frame_018-frame_019,1832,22,0.41629873426421954,0.7538778596380007
frame_019-frame_020,1755,0,nan,0.5268572384047053
frame_020-frame_021,1824,20,0.49966506442244074,0.8195009557463373
frame_021-frame_022,1776,4,2.3314514614310946,0.9621803579512112
frame_022-frame_023,1816,0,nan,0.6327982423920429
frame_023-frame_025,1752,31,0.349462576399754,1.1661128572469375
frame_025-frame_027,1839,29,1.1827862365424895,1.252289420237392
frame_027-frame_029,1659,25,1.525976696147045,1.1227177362111886
frame_029-frame_030,1814,0,nan,0.6988634566795497
frame_030-frame_032,1613,14,2.275345672626245,1.3158630045009168
frame_032-frame_034,1869,50,0.8013295518925627,1.2388909957901753
frame_034-frame_035,1785,0,nan,0.6647324428152224
frame_035-frame_036,1750,5,0.21340151707637295,0.33980647328254776
frame_036-frame_038,1773,15,0.8420894573196616,1.1304886865018424
frame_038-frame_040,1755,7,0.4421625066713709,1.1942195278721361
frame_040-frame_042,1798,175,0.9363787467536765,1.5591515808751577
frame_042-frame_044,1730,0,nan,1.0568647446813688
frame_044-frame_045,1798,1,0.3463065650487106,0.5261913951878349
frame_045-frame_047,1821,20,1.9998962969529752,1.1170897221570764
frame_047-frame_048,1798,0,nan,0.9130119762415818
frame_048-frame_050,1720,3,0.9264987112919381,0.912070872043474
frame_050-frame_051,1694,1,0.7086722550215943,0.7596787260410639
frame_051-frame_052,1681,0,nan,0.7401557929739141
frame_052-frame_053,1715,5,1.8311253943992574,0.25991062905437134
frame_053-frame_054,1678,0,nan,0.35497357089554493
frame_054-frame_056,1863,41,1.0344950868337328,1.2923491096942563
frame_056-frame_057,1866,34,1.1186284451896,0.5109956629459625
frame_057-frame_058,1712,0,nan,0.7023470825220173
frame_058-frame_059,1738,0,nan,0.642060286350888
