pair,raw_points,kept_points,mean_reproj_err_px,median_angle_deg
frame_001-frame_006,1170,312,0.3613030155012381,0.25566560210680306
frame_006-frame_011,821,76,0.44142575528947187,0.16738672388939543
frame_011-frame_016,666,60,0.6088000519358253,0.23741464401694987
frame_016-frame_021,770,182,0.37833905905672893,0.2204273287811579
frame_021-frame_026,812,240,0.3728794408941276,0.22382830675788476
frame_026-frame_031,864,351,0.27277014787085635,0.2383917477739817
frame_031-frame_036,535,141,0.5180300547820926,0.12402938794818989
frame_036-frame_041,584,222,0.20118038639468344,0.526327028000332
frame_041-frame_046,728,360,0.21628913819920614,2.875858461900853
frame_046-frame_051,922,495,0.1778190216129747,4.290342027454721
frame_051-frame_056,750,134,0.38506557524799523,0.27657785338489205
frame_056-frame_061,753,214,0.21877679530537564,0.42562189747186874
frame_061-frame_066,759,156,0.24582144322452823,0.19451206866919724
frame_066-frame_071,992,191,0.2217741738963162,0.23193283607291157
frame_071-frame_076,626,111,0.710526184147313,0.29888999191041454
frame_076-frame_081,1033,240,0.42514325914708195,0.3384808995583145
frame_081-frame_086,670,166,0.6730648032538894,0.9516354011885925
frame_086-frame_091,888,312,0.25912879850096454,0.5009109784293297
frame_091-frame_096,597,121,0.15971531100071718,0.5882285863034266
frame_096-frame_101,852,252,0.5549193232695339,0.8805898800712681
frame_101-frame_106,635,277,0.34625579226609166,1.524004162632538
frame_106-frame_111,848,307,0.3326285015503475,0.6346995377978162
frame_111-frame_116,778,169,0.45360471689349147,1.4748478391660904
frame_116-frame_121,883,137,0.6659273264133686,1.4039924428818755
frame_121-frame_126,676,250,0.3058614493877805,1.353359072287457
frame_126-frame_131,831,166,0.5869889382017843,0.48361067334801255
frame_131-frame_136,955,292,0.39293197097970706,0.9267625196661619
frame_136-frame_141,908,263,0.2254459057307857,0.9937856301730497
frame_141-frame_146,807,314,0.32039491113390994,1.8370200942951087
frame_146-frame_151,901,392,0.3455659532054979,1.5619796492118851
frame_151-frame_156,1011,319,0.4708457075948026,1.221448691998361
frame_156-frame_161,921,289,0.36420008998349995,1.1835992910220712
frame_161-frame_166,840,398,0.24211880935513608,1.6901272251444164
frame_166-frame_171,458,167,0.2920930292441647,1.434427765619244
frame_171-frame_176,363,205,0.18312681436552178,2.10568527002363
frame_176-frame_181,462,180,0.2059411451869429,0.690253438679095
frame_181-frame_186,388,150,0.4897380219141011,0.5499608349176539
frame_186-frame_191,810,343,0.4170438954767911,0.7224650333903618
frame_191-frame_196,848,401,0.536139845843419,0.5025823763204114
frame_196-frame_201,420,253,0.4256556435675871,9.451827639908986
frame_201-frame_206,735,277,0.38800632530930146,0.3802856126284396
frame_206-frame_211,934,554,0.399858546267548,6.549375851189712
frame_211-frame_216,1199,386,0.6030700929742592,0.3021206980415257
