pair,raw_points,kept_points,mean_reproj_err_px,median_angle_deg
frame_001-frame_003,384,2,2.492848176943555,0.08675183078248949
frame_003-frame_004,395,1,0.5662460186394138,0.40971848393776206
frame_004-frame_005,377,5,1.8997648201641208,0.026250825919144058
frame_005-frame_006,417,1,0.8966040478441903,0.2137340613791856
frame_006-frame_007,401,1,0.5160363214678612,0.3767753962787351
frame_007-frame_008,383,1,0.45878746834217415,0.12328892124490513
frame_008-frame_009,403,2,0.5401513470415684,0.068973578938162
frame_009-frame_010,374,24,0.5200976820149841,0.04264634606957416
frame_010-frame_011,421,3,0.5574659014352923,0.19530931016065786
frame_011-frame_012,389,6,1.4547904917571555,0.05949947910691727
frame_012-frame_013,379,3,0.7893936463785987,0.05892075360566784
frame_013-frame_014,383,2,0.8126260721612293,0.07576552441024625
frame_014-frame_015,388,10,0.34939783004238256,0.1691502031719812
frame_015-frame_016,368,95,0.28796155517666966,0.20234240753013377
frame_016-frame_017,380,12,0.2883569363246101,0.048672377859415764
frame_017-frame_018,347,2,1.1608504234107477,0.20704088284618966
frame_018-frame_019,403,125,0.16891196109022996,0.058424474779713784
frame_019-frame_020,405,0,nan,0.04694100241124381
frame_020-frame_021,394,22,0.3227897720553712,0.28967035719606354
frame_021-frame_022,404,119,0.17289384430022006,0.16295513134969727
frame_022-frame_023,368,6,0.27136780484423245,0.07154083078605972
frame_023-frame_024,367,1,1.2768056043226692,0.19718136670264325
frame_024-frame_025,349,63,0.24495185002914904,0.3487334419956876
frame_025-frame_026,352,19,0.19012376676755327,0.07314120913572303
frame_026-frame_027,321,18,1.660857469035371,0.1543313998913148
frame_027-frame_028,374,1,0.5934545685508557,0.11383183703815243
frame_028-frame_029,348,13,0.5464978835761589,0.09980431459260197
frame_029-frame_030,414,0,nan,0.3942564336295707
frame_030-frame_031,358,2,1.7937557123996806,0.13188617187855955
frame_031-frame_032,383,10,0.6439041225975504,0.1364021302992931
frame_032-frame_033,361,16,0.25947217204393225,0.17252357710538582
frame_033-frame_034,373,1,1.8417573616522311,0.14268493847024513
frame_034-frame_035,404,0,nan,0.029444516354180175
frame_035-frame_036,334,89,0.15662436515363015,0.22785601255178928
frame_036-frame_037,393,0,nan,0.23397636325803492
frame_037-frame_038,368,0,nan,0.03861526938103044
frame_038-frame_039,392,5,0.14536302793644246,0.049932604012931925
frame_039-frame_040,388,16,0.36550342213937503,0.08673692489727505
frame_040-frame_041,390,15,0.16123407881842167,0.1769304081843076
frame_041-frame_042,369,5,0.14656592384306605,0.10337611488363165
frame_042-frame_043,373,0,nan,0.2448003118717307
frame_043-frame_044,362,7,0.21995459293474845,0.21352960699855883
frame_044-frame_045,391,3,0.33110962046121717,0.17408108711149492
frame_045-frame_046,372,6,1.0631249207235145,0.19491773019071246
frame_046-frame_047,363,7,0.1639764771105296,0.06198342613938788
frame_047-frame_048,398,3,0.468176838471991,0.4002131016424243
frame_048-frame_051,324,131,0.27669210950001233,0.0510705827844318
frame_051-frame_052,372,71,0.29791813654998955,0.12307419234558589
frame_052-frame_053,370,9,0.26776243011457357,0.1343711744071568
frame_053-frame_054,387,102,0.12520947010812516,0.08462759200875855
frame_054-frame_056,378,116,0.16254367318333007,0.07042420471102605
frame_056-frame_057,384,2,1.629956916012476,0.06182805092974806
frame_057-frame_058,399,0,nan,0.1384229988800645
frame_058-frame_059,318,20,0.33287685405960044,0.3265950297769248
frame_059-frame_060,422,13,0.3391201503510447,0.1777776255904945
frame_060-frame_061,405,0,nan,0.14153852981457604
frame_061-frame_062,395,119,0.1139945723263537,0.14824785998259746
frame_062-frame_063,354,121,0.2367027209413944,0.20267708225924996
frame_063-frame_064,373,2,1.1435464640447242,0.31663877038211957
frame_064-frame_065,384,67,0.23055083958132955,0.31071636441167383
frame_065-frame_066,410,1,0.1734771808212435,0.09330141848021602
frame_066-frame_067,402,0,nan,0.10438344598333918
frame_067-frame_068,386,10,1.0199311353986023,0.09031294748170834
frame_068-frame_069,358,83,0.25394486682442785,0.07706148408026858
frame_069-frame_070,359,0,nan,0.31619502899061835
frame_070-frame_071,395,45,0.12160831142098784,0.2400755117024565
frame_071-frame_072,383,67,0.1897030232161483,0.07450455550866877
frame_072-frame_073,432,0,nan,0.14990510061117412
frame_073-frame_074,388,0,nan,0.13584180036934773
frame_074-frame_075,385,77,0.18586249787183307,0.2755963845694434
frame_075-frame_076,420,1,2.0383837206531146,0.06550126279812071
frame_076-frame_077,379,0,nan,0.2080616675036804
frame_077-frame_078,400,0,nan,0.16643261929540099
frame_078-frame_080,424,0,nan,0.39925946269126633
frame_080-frame_081,395,0,nan,0.09023638751281769
frame_081-frame_082,408,4,0.3683896603395972,0.20591771121837088
frame_082-frame_083,371,91,0.30180535793525964,0.14640662128141607
frame_083-frame_084,401,82,0.45491909097302075,0.16917631065627
frame_084-frame_085,369,0,nan,0.22995538933309267
frame_085-frame_086,405,137,0.3159158944624231,0.5605538546096911
frame_086-frame_087,408,18,0.1590706456800715,0.12053335811334465
frame_087-frame_088,415,0,nan,0.21276182021997553
frame_088-frame_089,426,19,0.7458289413885251,0.17399585973482234
frame_089-frame_090,413,136,0.16970504004289186,0.1906967677232155
frame_090-frame_091,408,20,0.27220475712562037,0.2477272303347318
frame_091-frame_092,408,19,0.22033513412035938,0.13228952217827256
frame_092-frame_093,416,144,0.17476213667260992,0.25674977140339744
frame_093-frame_094,359,39,0.6162905172393272,0.3329966157877546
frame_094-frame_095,415,18,0.22678537098554774,0.11458006574097415
frame_095-frame_096,378,111,0.2749606622434183,0.452453473841019
frame_096-frame_097,435,15,0.2734626248381399,0.12081189282039102
frame_097-frame_098,423,114,0.24989386316904544,0.2477811931069783
frame_098-frame_099,428,122,0.5337802943401092,0.5002363713376088
frame_099-frame_100,429,103,0.1570786801088249,0.22728597857834926
frame_100-frame_101,411,104,0.3097811509599717,0.3531651827940723
frame_101-frame_102,405,159,0.22680210541847745,0.4388223536304564
frame_102-frame_103,419,26,0.1667039935679832,0.3295535644332951
frame_103-frame_104,420,14,0.4487041612991635,0.4589732518156945
frame_104-frame_105,405,25,0.46968480155112663,0.20084797645643376
frame_105-frame_106,379,116,0.07554715041567889,0.40752413462553533
frame_106-frame_107,368,18,0.4984702769526326,0.4536493159288993
frame_107-frame_108,346,10,0.28797928445042686,0.18909690021122277
frame_108-frame_109,348,124,0.5344108583964465,0.6761671458413643
frame_109-frame_110,407,15,1.1404793359340217,0.3622950058373988
frame_110-frame_111,382,0,nan,0.2613421560878617
frame_111-frame_112,441,129,0.4055446088759686,0.6111224744481791
frame_112-frame_113,401,120,0.10456344649208171,0.21253320407169923
frame_113-frame_114,401,123,0.13504051067788808,0.3586235325553355
frame_114-frame_115,382,154,0.15379194034151766,0.5782352154136998
frame_115-frame_116,434,108,0.2626131596159617,0.4024692782109745
frame_116-frame_117,438,6,0.1722751895483285,0.24335540229430566
frame_117-frame_118,439,37,0.18255041763618735,0.2006518654207616
frame_118-frame_119,421,132,0.29917748342831163,0.32578473912229494
frame_119-frame_120,451,23,0.4091919357268229,0.18333898152023162
frame_120-frame_121,408,62,0.3257025316181336,0.2879798629867836
frame_121-frame_122,416,106,0.23300549662268621,0.38401159708372135
frame_122-frame_123,436,114,0.3403239598432982,0.17580536745421546
frame_123-frame_124,393,34,0.1894960646393134,0.25767603612049844
frame_124-frame_125,426,100,0.23915209108332083,0.20057187724631464
frame_125-frame_126,408,106,0.2590601403166906,0.3778047878987406
frame_126-frame_127,400,102,0.3420568405062241,0.248838381359837
