pair,raw_points,kept_points,mean_reproj_err_px,median_angle_deg
frame_001-frame_003,362,0,nan,0.26706122379436836
frame_003-frame_004,327,0,nan,0.4672763784592723
frame_004-frame_005,340,0,nan,0.29830070203039755
frame_005-frame_006,305,0,nan,0.1196366568812534
frame_006-frame_008,221,32,1.1040323574935056,0.48363018953498127
frame_008-frame_009,259,0,nan,0.46963352120598445
frame_009-frame_010,287,21,0.525547090516929,1.3771411023464377
frame_010-frame_011,291,20,0.4707575796215665,1.6053873876798084
frame_011-frame_012,296,206,0.5584684078328324,2.2656589514603414
frame_012-frame_013,305,17,0.6203099394189118,1.412381966964891
frame_013-frame_014,276,5,2.1791340140914093,1.0363122190472394
frame_014-frame_015,300,0,nan,1.1847472204582639
frame_015-frame_016,273,0,nan,1.0399975014338676
frame_016-frame_017,273,85,0.2876540905320356,1.5166867041464207
frame_017-frame_018,296,7,2.429226676113643,1.0383059109965362
frame_018-frame_019,296,0,nan,1.2567734062951046
frame_019-frame_020,341,7,0.8482631615265194,0.6840752991519106
frame_020-frame_021,304,14,0.3274219930539336,0.1935491342874456
frame_021-frame_023,294,2,0.14284125887073823,0.8707192408545907
frame_023-frame_024,329,8,0.6263844388230119,1.4394039695912828
frame_024-frame_025,308,217,0.3052464564405246,2.5572196098181017
frame_025-frame_026,304,175,0.3249451497440716,2.1342168947343447
frame_026-frame_027,271,135,0.33562855466638225,1.991770673082382
frame_027-frame_028,266,56,0.1811893134687969,1.6604033613742435
frame_028-frame_029,274,5,0.28031012848497705,1.3121842323871418
frame_029-frame_030,280,30,0.525514897303371,1.5399211438855123
frame_030-frame_031,295,0,nan,0.9688458121064061
frame_031-frame_032,294,0,nan,0.5634188365999746
frame_032-frame_033,240,4,1.4346756134553484,0.15973225016378317
frame_033-frame_034,290,3,0.30073143883459597,0.142077975677466
frame_034-frame_035,319,1,2.398826574741175,0.6674397916066129
frame_035-frame_036,269,1,1.7331399256080666,0.7554224109759907
frame_036-frame_037,311,0,nan,0.6686346262990267
frame_037-frame_038,282,0,nan,1.0349950543219815
frame_038-frame_039,275,197,0.6343254940032876,2.529705883431485
frame_039-frame_040,211,161,0.3039472219631409,5.00301772981739
frame_040-frame_041,241,241,0.37880896259868935,8.497142663844917
frame_041-frame_042,273,0,nan,0.12838040728736683
frame_042-frame_043,309,0,nan,0.903381198472124
frame_043-frame_045,283,0,nan,0.3966423130666897
frame_045-frame_046,276,274,0.4176541086463891,3.321975192586918
frame_046-frame_047,303,3,2.3792852075513116,1.2638561871458944
frame_047-frame_048,260,8,0.8891673145947064,0.441318539048911
frame_048-frame_049,258,0,nan,0.9370898206108275
frame_049-frame_050,269,5,0.19491154911874092,1.3491852604964139
frame_050-frame_051,292,5,0.361015003544368,1.3561811319292314
frame_051-frame_052,297,17,0.3864185523513224,1.39946714271926
frame_052-frame_053,292,1,2.4062334266538254,1.3519111061146072
frame_053-frame_054,274,0,nan,0.9548806960769323
frame_054-frame_055,289,0,nan,0.5580594336455995
frame_055-frame_056,296,7,1.0227776315193124,0.29286501334056414
frame_056-frame_057,314,6,1.3708708457389007,0.6484908652769161
frame_057-frame_058,285,8,2.032511489359858,0.5488462538098652
frame_058-frame_059,296,7,0.7016431990233253,0.18756066218383666
frame_059-frame_060,268,0,nan,0.40321237502799645
frame_060-frame_061,316,12,0.5441665948380504,0.7640915606508547
frame_061-frame_062,289,0,nan,0.7039722360167682
frame_062-frame_063,318,0,nan,0.6800239349122907
frame_063-frame_064,268,0,nan,1.0513936402543256
frame_064-frame_065,296,0,nan,0.6447624527829747
frame_065-frame_066,300,158,0.3372016151694302,2.05045360143517
frame_066-frame_067,276,96,0.5003212738095549,1.7117283543262283
frame_067-frame_068,270,118,0.39020676397687526,1.850148833092669
frame_068-frame_069,304,182,0.5716988410974281,2.308483278265329
frame_069-frame_070,284,166,0.4460760904960067,2.471030384200681
frame_070-frame_071,281,128,0.3382130506745521,1.9593689058224726
frame_071-frame_072,255,9,0.34355426894741614,1.3460678128505161
frame_072-frame_073,287,40,0.7390046499375561,1.7976229841289515
frame_073-frame_074,253,2,1.3323042226381268,0.8178147088339958
frame_074-frame_075,278,0,nan,0.705719804805
frame_075-frame_076,275,0,nan,0.9363561186290088
frame_076-frame_077,291,11,0.9113002350026376,1.5196113147460886
frame_077-frame_078,298,36,0.5583575598428756,1.6094052993794763
frame_078-frame_079,291,73,0.5984298966712503,1.779705189046392
frame_079-frame_080,265,64,0.5832430383838225,1.7271885853475037
frame_080-frame_081,274,70,0.7898629726365243,1.7755248566103567
frame_081-frame_082,306,0,nan,0.6195323750068168
frame_082-frame_083,283,0,nan,0.18930735087088657
frame_083-frame_084,260,0,nan,0.38380699186394224
frame_084-frame_085,260,212,0.7112728980657326,2.5255368326916097
