# Image list with two lines of data per image.
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
1 0.000000000 0.000000000 0.000000000 1.000000000 0.000000000 0.000000000 0.000000000 1 frame_001.jpg

2 0.011979185 0.003925219 0.008961571 0.999880384 0.709593043 0.327791921 0.623722706 1 frame_003.jpg

3 0.026492205 0.001516146 0.020707615 0.999433369 1.667907548 0.340279680 0.909167146 1 frame_005.jpg

4 0.036005534 0.003818264 0.022102256 0.999099851 2.547554455 0.355972667 1.384538598 1 frame_007.jpg

5 0.046907818 0.009254550 0.016917491 0.998713076 3.498463756 0.427583339 1.685613241 1 frame_009.jpg

6 0.049405905 0.037391036 0.021641895 0.997843973 4.455539692 0.456104523 1.974034511 1 frame_011.jpg

7 0.061294231 0.056447393 0.020939243 0.996302292 5.387571064 0.509531422 2.332451712 1 frame_013.jpg

8 0.054422124 0.070552851 0.017389791 0.995870535 6.338047197 0.547638715 2.640893710 1 frame_015.jpg

9 0.048609309 0.072659557 0.017490521 0.996017975 7.180233231 0.622618403 3.174831650 1 frame_017.jpg

10 0.051207983 0.064605061 0.021634777 0.996361313 8.095389984 0.661754121 3.575997413 1 frame_019.jpg

11 0.058504918 0.062627193 0.018994975 0.996139649 9.025463548 0.709961041 3.940191977 1 frame_021.jpg

12 0.056093339 0.075124460 0.015564931 0.995473548 9.870269587 0.731509079 4.474799448 1 frame_023.jpg

13 0.042958221 0.097396737 0.013878403 0.994221231 10.761232568 0.755267542 4.928264829 1 frame_025.jpg

14 0.035804882 0.110402646 0.012836742 0.993158841 11.606236009 0.772043468 5.462754105 1 frame_027.jpg

15 0.038530358 0.121855161 0.008774795 0.991760926 12.453661814 0.772162396 5.993640532 1 frame_029.jpg

16 0.044166108 0.140610860 0.002431968 0.989076350 13.354092156 0.828293652 6.424974521 1 frame_031.jpg

17 0.051889134 0.154350658 -0.001816617 0.986650947 14.328993838 0.799910725 6.645837437 1 frame_033.jpg

18 0.054326734 0.159102345 -0.002581037 0.985762846 15.282649517 0.721338412 6.936265301 1 frame_035.jpg

19 0.053890130 0.171020162 -0.005453643 0.983777524 16.214602428 0.760307133 7.296707070 1 frame_037.jpg

20 0.053568024 0.187629363 -0.009786983 0.980729271 17.067313361 0.781492908 7.818632298 1 frame_039.jpg

21 0.051568307 0.187822724 -0.008457478 0.980811809 17.957611354 0.886033179 8.261808436 1 frame_041.jpg

22 0.054981371 0.182700369 -0.005345303 0.981615532 18.874007504 0.956355353 8.655821911 1 frame_043.jpg

23 0.063219829 0.186435151 -0.003495585 0.980424892 19.685344410 1.063558688 9.230506158 1 frame_045.jpg

24 0.069048488 0.197839930 -0.004120281 0.977790720 20.644003355 1.119416692 9.509565152 1 frame_047.jpg

25 0.066571192 0.212741172 -0.007460414 0.974809629 21.576549781 1.179045503 9.865584283 1 frame_049.jpg

26 0.056528820 0.183277854 0.001866478 0.981432747 22.458499584 1.183782277 10.336855179 1 frame_051.jpg

27 0.065735431 0.198777250 0.007466258 0.977809139 23.376834561 1.219979728 10.731018293 1 frame_053.jpg

28 0.067180830 0.245297293 -0.006653104 0.967094468 24.229416643 1.215338180 11.253523208 1 frame_055.jpg

29 0.057438073 0.252375995 -0.019350204 0.965729152 25.129510333 1.289297068 11.682847170 1 frame_057.jpg

30 0.068931164 0.255341234 -0.009999615 0.964338818 26.095485355 1.372667479 11.927594260 1 frame_059.jpg

31 0.078532059 0.255004661 -0.000746417 0.963745185 27.000512835 1.391842180 12.352437461 1 frame_061.jpg

32 0.074357617 0.269892231 -0.003912680 0.960007198 27.918714122 1.427250886 12.746955185 1 frame_063.jpg

33 0.070040967 0.289553061 -0.010385736 0.954539378 28.823316779 1.456224859 13.172255232 1 frame_065.jpg

34 0.074840387 0.294367277 -0.006127341 0.952737781 29.729625499 1.469670409 13.594718755 1 frame_067.jpg

35 0.066587019 0.292832699 -0.008591509 0.953803630 30.563997238 1.457368261 14.145735137 1 frame_069.jpg

36 0.070688162 0.262159157 -0.004161192 0.962423215 31.487152557 1.492580136 14.528620263 1 frame_071.jpg

37 0.053330234 0.327493334 -0.015697255 0.943216623 32.394853865 1.525853238 14.946814704 1 frame_073.jpg

38 0.027852391 0.335623103 -0.029050448 0.941136254 33.301038018 1.557195037 15.368491997 1 frame_075.jpg

39 0.042352515 0.338577749 -0.020330539 0.939764886 34.262971934 1.618607968 15.634789069 1 frame_077.jpg

40 0.059585853 0.359465870 -0.018527641 0.931069568 35.163855341 1.665620972 16.066180634 1 frame_079.jpg

41 0.047745297 0.355640362 -0.019921623 0.933189932 35.831899764 1.779631798 16.801456918 1 frame_081.jpg

42 0.021198426 0.348448738 -0.024955197 0.936755753 36.442450864 1.870951351 17.588132587 1 frame_083.jpg

43 0.001963701 -0.322687439 0.005404969 -0.946488113 36.239661769 2.049517948 16.625324244 1 frame_085.jpg

44 0.072699341 0.340435731 -0.021678443 0.937202414 36.043358189 1.783464203 15.681563423 1 frame_087.jpg

45 0.073972094 0.359449300 -0.025497862 0.929878589 35.787933100 1.645463354 14.724658280 1 frame_089.jpg

46 0.074102568 0.373898232 -0.026661849 0.924120159 35.970014109 1.473298707 13.756579810 1 frame_091.jpg

47 0.055232137 0.351508696 -0.014869972 0.934435622 35.944555271 1.244699024 12.783396020 1 frame_093.jpg

48 0.049382527 0.332192267 -0.006954718 0.941892401 36.027305343 1.037847920 11.808560615 1 frame_095.jpg

49 0.056344055 0.309879474 -0.009339923 0.949058916 35.852114174 0.903533878 10.833272081 1 frame_097.jpg

50 0.057497121 0.295233578 -0.002887513 0.953689089 35.647322496 0.627419484 9.894236422 1 frame_099.jpg

51 0.070297021 0.300586346 0.001520710 0.951159222 34.870570137 0.534244392 9.271382291 1 frame_101.jpg

52 0.077707036 0.302615046 -0.002113619 0.949937515 33.965251892 0.507196723 8.847469638 1 frame_103.jpg

53 0.081991130 0.301570269 -0.002996667 0.949907283 33.060054218 0.420794294 8.431277974 1 frame_105.jpg

54 0.075012352 0.289300500 0.000106253 0.954294691 32.134399794 0.392361449 8.054023768 1 frame_107.jpg

55 0.061800645 0.270069797 0.003936989 0.960847275 31.185570313 0.374949136 7.738836255 1 frame_109.jpg

56 0.061113888 0.254456018 0.009084106 0.965108650 30.251032523 0.335977523 7.385170864 1 frame_111.jpg

57 0.072671266 0.255111507 0.009677276 0.964128288 29.320843850 0.301806712 7.019628877 1 frame_113.jpg

58 0.081891479 0.259758856 0.006574188 0.962172491 28.420747665 0.302231782 6.583953304 1 frame_115.jpg

59 0.081698048 0.255482260 0.001815828 0.963354009 27.472731163 0.257678881 6.268950452 1 frame_117.jpg

60 0.073650815 0.241320976 -0.000102799 0.967646492 26.491298033 0.211947014 6.082695602 1 frame_119.jpg

61 0.064478756 0.224359357 -0.002973707 0.972366457 25.534362901 0.181348507 5.794023045 1 frame_121.jpg

62 0.061898862 0.212444242 -0.009653068 0.975162957 24.621334280 0.151449150 5.387299783 1 frame_123.jpg

63 0.063908570 0.197157600 -0.011869850 0.978214538 23.692559432 0.116663958 5.018343859 1 frame_125.jpg

64 0.064400471 0.185291148 -0.010344036 0.980516584 22.754892714 0.055884097 4.676176947 1 frame_127.jpg

65 0.060682395 0.173658483 -0.008167909 0.982900638 21.808439934 0.007270938 4.357102122 1 frame_129.jpg

66 0.059935794 0.143089693 -0.008067885 0.987860289 20.862020228 -0.034660236 4.036865454 1 frame_131.jpg

67 0.067111705 0.160582270 -0.004056558 0.984729860 19.968607694 -0.050985260 3.587943267 1 frame_133.jpg

68 0.052543378 0.132855468 0.008704389 0.989703416 19.052783739 -0.075448800 3.187109205 1 frame_135.jpg

69 0.059268503 0.133492245 0.008487606 0.989239620 18.139108162 -0.101150375 2.781544337 1 frame_137.jpg

70 0.061640828 0.123606266 0.004404879 0.990405218 17.226960004 -0.112925597 2.371893157 1 frame_139.jpg

71 0.056877333 0.110474991 0.009943659 0.992200267 16.339816581 -0.114239448 1.910400140 1 frame_141.jpg

72 0.057088002 0.090355050 0.013235134 0.994183965 15.410549358 -0.122740329 1.541141714 1 frame_143.jpg

73 0.060946384 0.059589698 0.005860454 0.996343445 14.501047160 -0.143120011 1.125939306 1 frame_145.jpg

74 0.053581525 0.081280282 0.011671179 0.995181551 13.561166824 -0.185593300 0.787129305 1 frame_147.jpg

75 0.064647040 0.063262080 0.008366913 0.995865786 12.613768071 -0.231924298 0.470512246 1 frame_149.jpg

