# 3D point list
# POINT3D_ID, X, Y, Z, R, G, B, ERROR
1 -6.921804396 -17.300283939 148.950562448 255 255 255 1.0
2 3.531006658 -7.786926366 59.042031766 255 255 255 1.0
3 8.373834774 19.558648299 114.999852540 255 255 255 1.0
4 -0.899630626 -25.720950498 155.991047437 255 255 255 1.0
5 -16.564065011 22.861104615 105.178829223 255 255 255 1.0
6 -6.810476423 -6.671125622 139.582068613 255 255 255 1.0
7 -15.593874972 22.333580347 103.343820857 255 255 255 1.0
8 13.817761842 -50.880898233 191.946959977 255 255 255 1.0
9 -13.244767240 -28.687190746 154.099823864 255 255 255 1.0
10 27.693702076 11.821017949 144.606155245 255 255 255 1.0
11 -23.426496241 -26.743590730 151.229255004 255 255 255 1.0
12 30.709703509 13.259786855 117.187165520 255 255 255 1.0
13 6.660069187 -25.194195809 157.370893296 255 255 255 1.0
14 14.942762267 -34.228577678 175.662915268 255 255 255 1.0
15 16.754512013 -35.857479758 170.556380960 255 255 255 1.0
16 21.652204642 -35.254685889 175.230145057 255 255 255 1.0
17 15.053688620 5.566997605 126.627896424 255 255 255 1.0
18 -4.421578815 -5.106105511 145.162784418 255 255 255 1.0
19 -18.230173395 18.686991335 101.753850788 255 255 255 1.0
20 21.481565884 -42.563856785 172.241839225 255 255 255 1.0
21 -6.140407251 -20.878260235 148.571432819 255 255 255 1.0
22 -10.765629787 -12.908390736 52.365408242 255 255 255 1.0
23 33.347578829 6.163520893 147.894427830 255 255 255 1.0
24 17.718009820 17.582878551 135.787152043 255 255 255 1.0
25 15.668940625 -22.484674771 157.369918544 255 255 255 1.0
26 15.529081064 7.436901585 65.091929388 255 255 255 1.0
27 18.588735974 -10.517409423 149.202929236 255 255 255 1.0
28 -5.979444264 -12.204320328 144.706076295 255 255 255 1.0
29 24.711979857 -42.429906478 173.293410358 255 255 255 1.0
30 -10.774070152 19.700532731 90.496675081 255 255 255 1.0
31 5.107785548 2.913006503 120.038069524 255 255 255 1.0
32 -11.342911646 -46.286588985 163.589093911 255 255 255 1.0
33 10.369361387 -43.361856077 178.155842014 255 255 255 1.0
34 -3.888651922 0.028993054 131.290486797 255 255 255 1.0
35 -0.862310409 7.681181163 124.160048790 255 255 255 1.0
36 11.277534398 0.685938918 134.689956358 255 255 255 1.0
37 32.358589684 -9.557117025 152.672539352 255 255 255 1.0
38 31.272511956 13.240343264 140.342177880 255 255 255 1.0
39 -8.545953742 18.937298239 96.888910076 255 255 255 1.0
40 30.263197993 1.461522245 146.683871438 255 255 255 1.0
41 -19.319453739 -40.365436644 168.908708780 255 255 255 1.0
42 31.729025341 -10.755073006 157.099078511 255 255 255 1.0
43 -6.392767977 -38.649165485 169.062391708 255 255 255 1.0
44 -6.747731108 -13.808236876 146.291338038 255 255 255 1.0
45 -41.232335947 -25.509340251 147.772079702 255 255 255 1.0
46 -25.984839295 -48.198806184 161.851256085 255 255 255 1.0
47 16.985510893 19.646992439 110.756222732 255 255 255 1.0
48 -21.772832046 -47.513203550 173.557270269 255 255 255 1.0
49 19.139378846 13.746167193 80.393852883 255 255 255 1.0
50 -6.081951007 -6.411357278 144.555859721 255 255 255 1.0
51 -31.811326745 -49.341278686 164.782025352 255 255 255 1.0
52 19.699831661 -5.599368710 148.982526505 255 255 255 1.0
53 -11.322180768 -39.786869535 171.523888712 255 255 255 1.0
54 -26.272919226 20.809524974 96.080828557 255 255 255 1.0
55 -11.250638447 -30.499085114 153.561873334 255 255 255 1.0
56 30.069592605 11.709692575 142.916112564 255 255 255 1.0
57 -15.509386731 21.121191723 81.353709778 255 255 255 1.0
58 1.619081725 -45.337050139 167.416509241 255 255 255 1.0
59 -17.232883091 -47.369830704 163.914015208 255 255 255 1.0
60 27.897575647 -5.560212654 138.151014521 255 255 255 1.0
61 3.096929036 2.791781010 129.379393107 255 255 255 1.0
62 25.677724364 -13.679922689 117.024887765 255 255 255 1.0
63 -1.618486699 1.829027837 128.239152984 255 255 255 1.0
64 -10.028488977 -8.017180557 140.227824876 255 255 255 1.0
65 3.161800249 -42.101176729 168.151175940 255 255 255 1.0
66 16.711098445 -15.446953635 106.292279064 255 255 255 1.0
67 33.134623385 -25.380103687 164.493640275 255 255 255 1.0
68 -11.533510849 -26.691791015 151.127963576 255 255 255 1.0
69 -1.534522274 -40.983203242 170.738244401 255 255 255 1.0
70 14.511265336 19.254543738 105.603521108 255 255 255 1.0
71 0.891935323 19.712236845 85.236043167 255 255 255 1.0
72 33.640833531 6.430474432 146.841660350 255 255 255 1.0
73 17.283802206 -12.339324571 151.146317408 255 255 255 1.0
