# Image list with two lines of data per image.
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
1 0.000000000 0.000000000 0.000000000 1.000000000 0.000000000 0.000000000 0.000000000 1 frame_001.jpg

2 0.000072000 0.004779061 0.001461768 -0.999987509 -0.684935467 0.048062914 0.727016987 1 frame_002.jpg

3 0.000021380 0.011622697 0.001700180 -0.999931009 -1.441367133 0.117645358 1.377379976 1 frame_003.jpg

4 0.000299735 -0.021671699 -0.000603960 0.999764914 -2.208029841 0.166475541 2.017576498 1 frame_004.jpg

5 0.001402440 0.032621408 -0.001417740 -0.999465791 -3.012212476 0.206437311 2.610616900 1 frame_005.jpg

6 0.004802331 0.046680167 -0.003576493 -0.998891940 -3.753052048 0.236902256 3.281608763 1 frame_006.jpg

7 0.008860961 0.061232776 -0.004298511 -0.998074924 -4.544745476 0.269246756 3.891679677 1 frame_007.jpg

8 0.010580292 0.076140505 -0.003237565 -0.997035706 -5.270647708 0.282409020 4.579344391 1 frame_008.jpg

9 0.008305603 0.088241415 -0.002090223 -0.996062298 -6.029255341 0.326951462 5.229378577 1 frame_009.jpg

10 0.004399454 0.099428186 -0.000666051 -0.995034792 -6.734378078 0.376650203 5.936722106 1 frame_010.jpg

11 0.000256522 0.110702947 0.000886802 -0.993853111 -7.516383247 0.427475446 6.557902947 1 frame_011.jpg

12 0.001770055 -0.123050876 -0.002340054 0.992396026 -8.267270324 0.504976262 7.213767699 1 frame_012.jpg

13 0.002833750 -0.136137373 -0.002919717 0.990681614 -9.085836210 0.572595355 7.784196264 1 frame_013.jpg

14 0.000781608 -0.146659771 -0.002749825 0.989182864 -9.808589471 0.641304738 8.471876070 1 frame_014.jpg

15 0.003552653 0.157334157 0.000652262 -0.987538818 -10.505339349 0.689861539 9.187535212 1 frame_015.jpg

16 0.009185342 0.165380648 -0.002449518 -0.986183994 -11.159042314 0.689380064 9.944291532 1 frame_016.jpg

17 0.013686904 0.175185621 -0.004106841 -0.984431715 -11.810202600 0.704493319 10.703081317 1 frame_017.jpg

18 0.014423880 0.190277193 -0.003272261 -0.981618986 -12.528176054 0.739377621 11.398276819 1 frame_018.jpg

19 0.012118668 0.210095293 -0.001177869 -0.977605093 -13.175357474 0.757405555 12.160386658 1 frame_019.jpg

20 0.008953591 0.231899655 0.001673456 -0.972697066 -13.903730879 0.784943659 12.845035762 1 frame_020.jpg

21 0.008078222 0.254630294 0.005075117 -0.966991416 -14.530636301 0.804675354 13.623888287 1 frame_021.jpg

22 0.015302585 0.278763662 0.001700304 -0.960236305 -15.234678441 0.856420465 14.332180317 1 frame_022.jpg

23 0.022371421 0.292770934 0.000678504 -0.955920624 -15.872608601 0.906181292 15.100663101 1 frame_023.jpg

24 0.024791726 0.323586141 -0.003475246 -0.945867487 -16.525584029 0.955574746 15.856449323 1 frame_024.jpg

25 0.023870300 0.346851053 -0.009247495 -0.937570818 -17.141398897 1.016230737 16.641986744 1 frame_025.jpg

26 0.022671289 0.363351507 -0.014669133 -0.931260711 -17.794480069 1.052259756 17.398393368 1 frame_026.jpg

27 0.023063044 0.382636968 -0.016818298 -0.923457737 -18.450436738 1.066503209 18.153050801 1 frame_027.jpg

28 0.023866745 0.417097913 -0.014736880 -0.908428607 -19.060326470 1.086231021 18.945265667 1 frame_028.jpg

29 0.024494512 0.461859447 -0.014009257 -0.886504152 -19.783518144 1.132550397 19.634382782 1 frame_029.jpg

30 0.015323373 0.468575407 0.003421100 -0.883283974 -20.422705249 1.207558711 20.399772664 1 frame_030.jpg

31 0.000814568 0.474680356 0.006281071 -0.880135469 -21.131331723 1.279807971 21.101628099 1 frame_031.jpg

32 0.003183291 0.454869582 0.010963705 -0.890484883 -21.850774613 1.305215167 21.795705751 1 frame_032.jpg

33 0.012027138 0.500441545 -0.020842798 -0.865435836 -22.551117616 1.315296349 22.509438883 1 frame_033.jpg

34 0.009919236 0.508275224 -0.029354783 -0.860637091 -23.262923197 1.349440413 23.210967653 1 frame_034.jpg

35 0.006061117 0.518203209 -0.018287716 -0.855040500 -23.971565197 1.350408158 23.916525096 1 frame_035.jpg

36 0.002084228 0.534724253 -0.017201134 -0.844848951 -24.798287949 1.392497630 24.477577656 1 frame_036.jpg

37 0.002439911 -0.545706600 0.014196276 0.837852504 -25.452242111 1.450701789 25.231909412 1 frame_037.jpg

38 0.005991624 -0.553680751 0.011977220 0.832621326 -26.191632687 1.526414738 25.900882547 1 frame_038.jpg

39 0.007343156 -0.562429268 0.013887776 0.826696151 -26.955105750 1.563289387 26.545686986 1 frame_039.jpg

40 0.006946252 -0.573669412 0.017989665 0.818859895 -27.706132325 1.568253786 27.205912154 1 frame_040.jpg

41 0.004897692 -0.584583981 0.022516371 0.811005915 -28.487571604 1.585530467 27.829620390 1 frame_041.jpg

42 0.003068826 -0.595575882 0.025432653 0.802890485 -29.223836428 1.575859381 28.506239025 1 frame_042.jpg

43 0.001196539 -0.603312447 0.026756214 0.797055058 -30.052152442 1.598545223 29.065998865 1 frame_043.jpg

44 0.003109494 -0.615634613 0.022059195 0.787716793 -30.777165450 1.665069667 29.751567897 1 frame_044.jpg

45 0.006218470 -0.659085777 0.019666934 0.751784863 -31.541293640 1.703863950 30.395419273 1 frame_045.jpg

46 0.011929630 -0.650245226 0.023559133 0.759265301 -32.219665198 1.740513253 31.129232702 1 frame_046.jpg

47 0.013606559 -0.639401021 0.027407792 0.768264283 -32.804212883 1.757154719 31.940458612 1 frame_047.jpg

48 0.025588875 -0.654989447 0.025490723 0.754774309 -33.551082524 1.793318748 32.604519043 1 frame_048.jpg

49 0.031470543 -0.666992082 0.018032026 0.744181439 -34.048657577 1.860926667 33.469290154 1 frame_049.jpg

50 0.039635183 -0.701374731 0.013906878 0.711554031 -34.462635596 1.964895207 34.373596635 1 frame_050.jpg

51 0.039680726 -0.709954800 0.013834568 0.702992337 -34.639898126 2.017279728 35.356356845 1 frame_051.jpg

52 0.032857374 -0.708170488 0.016134268 0.705091936 -34.495969297 2.042127695 36.345655425 1 frame_052.jpg

53 0.027185676 -0.719298963 0.017171045 0.693956120 -34.565233944 2.092916344 37.341958527 1 frame_053.jpg

54 0.026830816 -0.723711852 0.016053688 0.689393604 -34.430695882 2.149401808 38.331277236 1 frame_054.jpg

55 0.028529188 -0.721455688 0.012746047 0.691755241 -34.525360763 2.216968152 39.324498423 1 frame_055.jpg

56 0.027588483 -0.728600337 0.010635641 0.684300597 -34.313461443 2.292433438 40.298875285 1 frame_056.jpg

57 0.026340961 -0.739670447 0.011069704 0.672362436 -34.069811780 2.341826518 41.267432327 1 frame_057.jpg

58 0.025367999 -0.750142565 0.012518487 0.660670783 -33.665476024 2.378066836 42.181380846 1 frame_058.jpg

59 0.025750973 -0.756603583 0.014785387 0.653199279 -33.044228765 2.384759544 42.964977989 1 frame_059.jpg

60 0.026303667 -0.763639744 0.016864322 0.644886077 -32.423141375 2.390704583 43.748716849 1 frame_060.jpg

61 0.027516277 -0.767755964 0.018900374 0.639872182 -31.658469334 2.394590098 44.393141118 1 frame_061.jpg

62 0.022324387 -0.779565330 0.021850633 0.625541420 -30.968237654 2.406892011 45.116608458 1 frame_062.jpg

63 0.016387062 -0.782436597 0.020252230 0.622185087 -30.260941410 2.434416220 45.822936915 1 frame_063.jpg

64 0.019235502 -0.786037143 0.017331358 0.617636810 -29.586960035 2.483817800 46.560036533 1 frame_064.jpg

65 0.022457877 -0.794411241 0.016308278 0.606745798 -28.884663351 2.493824843 47.271903836 1 frame_065.jpg

66 0.022799568 -0.804640423 0.015052754 0.593133530 -28.161475285 2.500647972 47.962491545 1 frame_066.jpg

67 0.021833765 -0.815306124 0.013970407 0.578449685 -27.476391668 2.508634738 48.690885305 1 frame_067.jpg

68 0.019636804 -0.823099188 0.011935914 0.567432513 -26.620146878 2.506263245 49.207432913 1 frame_068.jpg

69 0.021983805 -0.835514004 0.013750238 0.548856987 -25.904768166 2.540936821 49.905293856 1 frame_069.jpg

70 0.019553666 -0.844606625 0.018788452 0.534700193 -25.135064051 2.573792201 50.542828727 1 frame_070.jpg

71 0.018588210 -0.849654630 0.021867663 0.526557969 -24.420889438 2.560485319 51.242683732 1 frame_071.jpg

72 0.020741388 -0.854313925 0.020339756 0.518944897 -23.725394355 2.551362613 51.961168943 1 frame_072.jpg

73 0.021663950 -0.860133065 0.018992727 0.509255397 -23.000835833 2.561965720 52.650323015 1 frame_073.jpg

