# 3D point list
# POINT3D_ID, X, Y, Z, R, G, B, ERROR
1 -0.888151670 -25.726545496 104.679882915 255 255 255 1.0
2 1.085902197 -28.464094284 106.178135585 255 255 255 1.0
3 -0.136839158 -27.492741169 104.400279597 255 255 255 1.0
4 3.561132272 -35.352934081 133.988777983 255 255 255 1.0
5 0.989512358 -3.962355037 28.640407657 255 255 255 1.0
6 19.247370932 -33.287850111 115.791686894 255 255 255 1.0
7 -3.792446653 -4.064622062 28.959872525 255 255 255 1.0
8 -0.647438448 -20.403569922 85.106518761 255 255 255 1.0
9 -4.175536788 -2.543041108 31.813209893 255 255 255 1.0
10 -0.715432723 -4.032575516 29.644999256 255 255 255 1.0
11 -3.749945114 -3.824839634 28.352154011 255 255 255 1.0
12 -3.452657337 -3.543496103 26.434609654 255 255 255 1.0
13 -0.112236269 -2.481337688 31.980733594 255 255 255 1.0
14 0.726954819 -3.508704775 26.637106624 255 255 255 1.0
15 -1.325259463 2.850734301 29.162844970 255 255 255 1.0
16 18.901973958 -28.887292857 107.046283016 255 255 255 1.0
17 49.302318312 -41.201853457 196.966103215 255 255 255 1.0
18 1.214688146 -35.888189925 130.082063611 255 255 255 1.0
19 0.891287891 -3.968529538 29.561075745 255 255 255 1.0
20 45.873834688 -38.917426015 186.327107452 255 255 255 1.0
21 -0.711389708 -21.660446787 84.189240311 255 255 255 1.0
22 -7.771221722 -3.707311435 32.236930570 255 255 255 1.0
23 -4.500997398 -3.670782295 26.429463472 255 255 255 1.0
24 -5.163927091 -4.039295959 29.332394684 255 255 255 1.0
25 -0.245036826 -2.350727240 31.990962646 255 255 255 1.0
26 -3.523254553 -6.254641491 33.987215701 255 255 255 1.0
27 5.952027015 -40.875307904 152.626659252 255 255 255 1.0
28 0.782037865 -3.820831294 29.505514844 255 255 255 1.0
29 -1.181154846 3.410124667 27.350836196 255 255 255 1.0
30 -2.481792929 2.721600126 26.141910084 255 255 255 1.0
31 -0.013059155 -27.293915723 107.849820188 255 255 255 1.0
32 -4.637622020 -3.995729306 28.220191313 255 255 255 1.0
33 -4.175980524 -4.019498547 29.194211094 255 255 255 1.0
34 25.525212618 -19.687523335 103.451164256 255 255 255 1.0
35 4.413956024 -20.931501764 82.537419562 255 255 255 1.0
36 -3.265539653 -4.063521909 29.333828317 255 255 255 1.0
37 -2.800111740 -3.784645186 29.261048541 255 255 255 1.0
38 -3.357811981 3.341088950 28.107336619 255 255 255 1.0
39 -664.685952419 37.621064382 2058.775264880 255 255 255 1.0
40 13.186023212 -32.885392071 134.582005659 255 255 255 1.0
41 -0.611454682 -24.239440295 106.562182622 255 255 255 1.0
42 -108.450500767 10.951892701 367.223309583 255 255 255 1.0
43 -0.300844037 -4.068828457 29.569471857 255 255 255 1.0
44 -2.792086579 -3.914609643 29.156203133 255 255 255 1.0
45 1.158668761 1.589374868 12.880260008 255 255 255 1.0
46 0.579720143 -3.693442459 26.787956376 255 255 255 1.0
47 -2.066124856 -3.574229321 28.766610438 255 255 255 1.0
48 -4.669912399 -3.694051944 26.281517171 255 255 255 1.0
49 -3.725514591 -3.830398622 29.457917308 255 255 255 1.0
50 25.232553064 -44.887633150 165.773778643 255 255 255 1.0
51 52.245952542 -39.166238607 197.105098707 255 255 255 1.0
52 -14.366891011 2.116772673 282.808727678 255 255 255 1.0
53 -2.576778532 -4.678247977 30.846347390 255 255 255 1.0
54 -0.506697653 -30.230134165 126.459337206 255 255 255 1.0
55 -0.389875627 -3.591809320 26.772412359 255 255 255 1.0
56 -1.652828649 3.826352084 26.170793875 255 255 255 1.0
57 0.120960040 2.587565293 27.026556617 255 255 255 1.0
58 -106.727349762 7.885649296 355.162066007 255 255 255 1.0
59 -6.491081704 2.463439597 30.680049230 255 255 255 1.0
60 -2.210559108 2.281313116 36.586232135 255 255 255 1.0
61 -11.135950351 2.587904161 296.947203973 255 255 255 1.0
62 20.864810320 -43.036857045 157.012715429 255 255 255 1.0
63 -16.667840080 3.075162149 290.843982943 255 255 255 1.0
64 18.940966712 -24.817928471 95.566913634 255 255 255 1.0
65 43.136877813 -53.409138589 210.602266155 255 255 255 1.0
66 6.832609744 -29.991859871 117.131971322 255 255 255 1.0
67 0.802230659 -3.443068448 26.888750676 255 255 255 1.0
68 13.524569872 -33.952035714 134.866897956 255 255 255 1.0
69 29.285075293 -40.872713060 167.199694435 255 255 255 1.0
70 53.850450475 -38.057602801 192.111422492 255 255 255 1.0
71 13.419349304 -33.454943930 135.598592382 255 255 255 1.0
72 -4.172528443 -3.912084789 29.114560754 255 255 255 1.0
73 39.487334435 -59.791623762 215.471640840 255 255 255 1.0
74 -2.865696010 3.911890445 26.245717439 255 255 255 1.0
75 -0.599774351 -3.469482621 26.278452498 255 255 255 1.0
76 -7.617079095 -3.503595174 30.857131149 255 255 255 1.0
77 -2.399704192 2.705142672 25.791287335 255 255 255 1.0
78 -2.373726828 3.202030110 24.875909499 255 255 255 1.0
79 -2.444310633 -8.289521916 37.842679930 255 255 255 1.0
80 -2.407860158 -3.694544181 29.496198489 255 255 255 1.0
81 -3.715275126 -4.046005563 29.161276977 255 255 255 1.0
82 -1.078518603 2.534379285 26.064800448 255 255 255 1.0
83 -6.637437499 -3.627016676 29.763210523 255 255 255 1.0
84 -1.378706830 3.136110157 28.614620111 255 255 255 1.0
85 -2.755877846 -3.818839065 29.329388036 255 255 255 1.0
86 2.151820901 2.448018161 30.785374910 255 255 255 1.0
87 13.486935592 -30.597870835 133.810417639 255 255 255 1.0
88 -2.543628361 -34.598489993 154.643865808 255 255 255 1.0
89 10.599068650 -14.204081910 75.160200729 255 255 255 1.0
90 -0.820673287 -3.897287605 29.538494811 255 255 255 1.0
91 -2.585781087 2.762712579 25.794416171 255 255 255 1.0
92 -1.720384734 3.087772418 25.202803281 255 255 255 1.0
93 -2.365885097 -3.847470665 29.252138067 255 255 255 1.0
94 15.646000288 -5.398687446 77.544932848 255 255 255 1.0
95 -2.862432903 -3.961719474 29.175853178 255 255 255 1.0
96 2.402281449 -3.821123881 31.227560573 255 255 255 1.0
97 -16.348103914 3.727168946 52.844445463 255 255 255 1.0
98 -2.551499622 3.122862316 26.605415860 255 255 255 1.0
99 34.704080778 -66.069972003 219.064036206 255 255 255 1.0
100 -233.111915611 23.907487063 760.402290539 255 255 255 1.0
101 -2.749517427 2.524440177 36.972512591 255 255 255 1.0
102 35.587032902 -57.178595004 211.669997258 255 255 255 1.0
103 -0.472571561 -4.035856207 29.355304616 255 255 255 1.0
104 -0.274613472 -32.351509704 130.916427525 255 255 255 1.0
105 -2.394931187 3.603722917 26.384784253 255 255 255 1.0
106 -2.244107092 2.188653019 36.472171914 255 255 255 1.0
107 -7.723864249 -3.426185162 31.955906786 255 255 255 1.0
108 30.325091426 -56.350381366 214.451911356 255 255 255 1.0
109 -4.458854783 -3.908519329 27.806746645 255 255 255 1.0
110 -3.655634164 -4.097747663 29.294006589 255 255 255 1.0
111 18.769501629 -33.904788112 114.816914227 255 255 255 1.0
112 24.533537366 -32.751612174 124.353458810 255 255 255 1.0
