pair,raw_points,kept_points,mean_reproj_err_px,median_angle_deg
frame_001-frame_002,417,7,2.799814569533087,1.0652672492224176
frame_002-frame_003,389,2,0.40164842634429576,1.3099290566893043
frame_003-frame_004,465,95,0.31816672379388256,1.693550169096904
frame_004-frame_005,401,43,0.8241053667562089,1.6551762095285207
frame_005-frame_006,404,41,0.15349981903945503,1.5186781645874488
frame_006-frame_007,376,15,0.23020528881115332,1.4325893117986983
frame_007-frame_008,383,106,0.13972185283685012,1.6533984154468753
frame_008-frame_009,462,98,0.2687351038646544,1.6282219496238388
frame_009-frame_010,411,174,0.15806727112078064,1.7962498105638953
frame_010-frame_011,393,251,0.1550159270714725,2.2605996071996204
frame_011-frame_012,342,261,0.33667947816777677,2.533079991826461
frame_012-frame_013,354,297,0.3919139996499157,2.8225699653091985
frame_013-frame_014,437,302,0.2848595465501811,2.3595313025590645
frame_014-frame_015,431,287,0.18667559585743582,2.420083947049365
frame_015-frame_016,369,221,0.21803192157362933,2.178765995668931
frame_016-frame_017,394,236,0.1565628956852441,2.239851214360103
frame_017-frame_018,380,259,0.46262190913762125,2.7742131277931206
frame_018-frame_019,385,243,0.1848722345646317,2.7248833492829094
frame_019-frame_020,429,301,0.16226792232658008,2.6782400232879304
frame_020-frame_021,409,304,0.3082744515174577,2.6754748493934715
frame_021-frame_022,386,314,0.18294690903797517,2.7965838859622805
frame_022-frame_023,366,296,0.24328793288305517,2.7518799793167137
frame_023-frame_024,394,310,0.24122660460726197,2.7336190549127366
frame_024-frame_025,360,282,0.27875418393889273,2.6727321434910634
frame_025-frame_026,345,276,0.2537223400826175,2.7914917207245495
frame_026-frame_027,389,330,0.25286044814085745,2.8059039620896113
frame_027-frame_028,332,288,0.18749751365746056,2.715739508074811
frame_028-frame_029,350,344,0.27583636041078685,2.868610235433392
frame_029-frame_030,352,306,0.22942008316122314,2.7312495084128483
frame_030-frame_031,392,305,0.36642924209963235,2.971071658906686
frame_031-frame_032,393,256,0.29120400057295615,2.6276357655691895
frame_032-frame_033,379,302,0.19217622224944264,2.3827146145569804
frame_033-frame_034,345,246,0.29193738366445376,2.454611238359652
frame_034-frame_035,380,259,0.18268298317535325,2.233307162031884
frame_035-frame_036,367,102,0.25124463112950507,1.7316520182683977
frame_036-frame_037,348,251,0.19784105626769438,2.1554805789697884
frame_037-frame_038,324,187,0.23618355476182112,2.1296254715433767
frame_038-frame_039,378,148,0.28884468892587134,1.846125092968128
frame_039-frame_040,360,113,0.2411488944452756,1.7363832029656767
frame_040-frame_041,339,109,0.21967898376282513,1.8490076569275071
frame_041-frame_042,367,193,0.28155483841784,2.0219036334462155
frame_042-frame_043,386,15,0.3207229823817067,1.5243365821568324
frame_043-frame_044,388,1,0.4005656093742385,1.2261848539140165
frame_044-frame_045,427,3,0.21566958238343298,1.2584292603993565
frame_045-frame_046,428,21,0.23814366663849557,1.3840339479687802
frame_046-frame_047,409,24,0.2718068091813104,1.590998560341639
frame_047-frame_048,422,1,0.9743695926002445,0.9764212462044974
frame_048-frame_049,415,10,0.3782739649711141,0.9481795925524725
frame_049-frame_050,385,0,nan,0.8620764371814917
frame_050-frame_051,403,11,0.3790605994223008,1.4501994850898243
frame_051-frame_052,373,15,0.5035908291180013,1.6312202017197217
frame_052-frame_053,370,20,1.3117778548069081,1.0869853637118712
frame_053-frame_054,377,17,0.49578042961746077,1.3836104388819417
frame_054-frame_055,341,9,1.3588259555138884,1.184724754713436
frame_055-frame_056,393,136,0.18751786261336167,1.8279615708117172
frame_056-frame_057,365,87,0.19709585735504304,1.818196267430357
frame_057-frame_058,426,12,0.9871322568242095,1.4548741876367968
frame_058-frame_059,392,5,0.18011561951708677,1.4732365640327512
frame_059-frame_060,333,102,0.3002638852624692,1.7499700498836372
frame_060-frame_061,430,0,nan,1.2296584128144765
frame_061-frame_062,410,44,0.2834201918941335,1.4835265495147134
frame_062-frame_063,420,119,0.2556947343078856,1.6628228564350018
frame_063-frame_064,377,108,0.23218575717843143,1.7063809993151435
frame_064-frame_065,374,110,0.15142019812048108,1.6812603323450623
frame_065-frame_066,353,156,0.28235750421127426,1.923152959178894
frame_066-frame_067,351,177,0.1713994099076539,2.0019550781587614
frame_067-frame_068,379,67,0.5022927374561823,1.4182821061956667
frame_068-frame_069,376,100,0.2799772055955236,0.4150228969273697
frame_069-frame_070,365,76,0.34574009111244297,0.24143162075498148
frame_070-frame_071,387,171,0.2709134452202536,0.8838362235616539
