pair,raw_points,kept_points,mean_reproj_err_px,median_angle_deg
frame_002-frame_003,1245,0,nan,0.6504382996226784
frame_003-frame_004,1353,0,nan,1.2359048115600022
frame_004-frame_005,1285,856,0.40148056944583127,2.182481989013008
frame_005-frame_006,1132,0,nan,1.1095542916497712
frame_006-frame_007,1288,0,nan,1.1499049818275668
frame_007-frame_008,1294,159,0.4921650917830241,1.669801332650313
frame_008-frame_009,1459,6,0.23095435987433552,1.362688768168377
frame_009-frame_010,1352,47,0.9802803173397178,1.6069231753943347
frame_010-frame_011,1312,0,nan,0.9411289668663979
frame_011-frame_012,1316,164,0.48893419176063924,1.7824176969898988
frame_012-frame_013,1379,1053,0.33829944571479953,2.3314797014782696
frame_013-frame_014,1301,86,0.558456925062033,1.7291997514387327
frame_014-frame_015,1296,989,0.3733339638175027,2.4481779106887602
frame_015-frame_016,1346,47,0.4921777251929569,1.65608884497449
frame_016-frame_017,1368,374,0.2468973373660559,1.8810712081899499
frame_017-frame_018,1411,0,nan,0.8709432780108464
frame_018-frame_019,1278,0,nan,0.652189977653683
frame_019-frame_020,1385,561,0.5094183579796927,1.9296005256085131
frame_020-frame_021,1286,5,1.871612104000933,1.4583643254068557
frame_021-frame_022,1325,509,0.4495688674935771,1.9305205467144628
frame_022-frame_023,1603,978,0.43917244111272047,2.0860525787083084
frame_023-frame_024,1240,0,nan,1.0305185681226516
frame_024-frame_025,1276,39,0.292746830482866,1.5243404083975851
frame_025-frame_026,1340,427,0.38571251247113125,1.7381745875485055
frame_026-frame_027,1315,173,0.2881326866120021,1.5872249834997865
frame_027-frame_028,1301,14,0.2806852979786545,1.3921109711810695
frame_028-frame_029,1376,616,0.3503101524675155,1.9251666368616491
frame_029-frame_030,1406,538,0.32566909850359343,1.8530665002550084
frame_030-frame_031,1424,97,0.25074856230463793,1.534027273845524
frame_031-frame_032,1275,0,nan,0.709930506936893
frame_032-frame_033,1243,0,nan,1.0054172962778416
frame_033-frame_034,1212,505,0.3855047639738871,1.849110953207712
frame_034-frame_035,1239,0,nan,1.0903072402598593
frame_035-frame_036,1257,4,0.10859946206118411,1.2167544991102799
frame_036-frame_037,1327,44,1.4784126345940853,0.5179565767995478
frame_037-frame_038,1304,106,1.1317046967538151,0.6547284555173887
frame_038-frame_039,1129,38,0.9956663005791075,0.342819309976762
frame_039-frame_040,899,115,0.8827558334821692,0.9624592021164186
