filename,detector,num_keypoints,descriptor_shape
frame_001.jpg,SIFT,29696,"[29696, 128]"
frame_002.jpg,SIFT,33526,"[33526, 128]"
frame_003.jpg,SIFT,27275,"[27275, 128]"
frame_004.jpg,SIFT,33333,"[33333, 128]"
frame_005.jpg,SIFT,31359,"[31359, 128]"
frame_006.jpg,SIFT,35470,"[35470, 128]"
frame_007.jpg,SIFT,33705,"[33705, 128]"
frame_008.jpg,SIFT,20424,"[20424, 128]"
frame_009.jpg,SIFT,33306,"[33306, 128]"
frame_010.jpg,SIFT,20674,"[20674, 128]"
frame_011.jpg,SIFT,20587,"[20587, 128]"
frame_012.jpg,SIFT,27963,"[27963, 128]"
frame_013.jpg,SIFT,28261,"[28261, 128]"
frame_014.jpg,SIFT,26483,"[26483, 128]"
frame_015.jpg,SIFT,27955,"[27955, 128]"
frame_016.jpg,SIFT,26543,"[26543, 128]"
frame_017.jpg,SIFT,23248,"[23248, 128]"
frame_018.jpg,SIFT,16095,"[16095, 128]"
frame_019.jpg,SIFT,25984,"[25984, 128]"
frame_020.jpg,SIFT,32063,"[32063, 128]"
frame_021.jpg,SIFT,23912,"[23912, 128]"
frame_022.jpg,SIFT,24427,"[24427, 128]"
frame_023.jpg,SIFT,32699,"[32699, 128]"
frame_024.jpg,SIFT,29065,"[29065, 128]"
frame_025.jpg,SIFT,23118,"[23118, 128]"
frame_026.jpg,SIFT,16894,"[16894, 128]"
frame_027.jpg,SIFT,16880,"[16880, 128]"
frame_028.jpg,SIFT,31031,"[31031, 128]"
frame_029.jpg,SIFT,26557,"[26557, 128]"
frame_030.jpg,SIFT,23514,"[23514, 128]"
frame_031.jpg,SIFT,17883,"[17883, 128]"
frame_032.jpg,SIFT,12752,"[12752, 128]"
frame_033.jpg,SIFT,22884,"[22884, 128]"
frame_034.jpg,SIFT,12668,"[12668, 128]"
frame_035.jpg,SIFT,18601,"[18601, 128]"
frame_036.jpg,SIFT,27047,"[27047, 128]"
frame_037.jpg,SIFT,22464,"[22464, 128]"
frame_038.jpg,SIFT,20671,"[20671, 128]"
frame_039.jpg,SIFT,21911,"[21911, 128]"
frame_040.jpg,SIFT,9008,"[9008, 128]"
frame_041.jpg,SIFT,19559,"[19559, 128]"
frame_042.jpg,SIFT,18966,"[18966, 128]"
frame_043.jpg,SIFT,18758,"[18758, 128]"
frame_044.jpg,SIFT,22821,"[22821, 128]"
frame_045.jpg,SIFT,20926,"[20926, 128]"
frame_046.jpg,SIFT,25623,"[25623, 128]"
frame_047.jpg,SIFT,14385,"[14385, 128]"
frame_048.jpg,SIFT,32500,"[32500, 128]"
frame_049.jpg,SIFT,33442,"[33442, 128]"
frame_050.jpg,SIFT,28319,"[28319, 128]"
frame_051.jpg,SIFT,31214,"[31214, 128]"
frame_052.jpg,SIFT,33646,"[33646, 128]"
frame_053.jpg,SIFT,28146,"[28146, 128]"
frame_054.jpg,SIFT,28978,"[28978, 128]"
frame_055.jpg,SIFT,26241,"[26241, 128]"
frame_056.jpg,SIFT,31896,"[31896, 128]"
frame_057.jpg,SIFT,22167,"[22167, 128]"
frame_058.jpg,SIFT,26570,"[26570, 128]"
frame_059.jpg,SIFT,26347,"[26347, 128]"
frame_060.jpg,SIFT,36009,"[36009, 128]"
frame_061.jpg,SIFT,34507,"[34507, 128]"
frame_062.jpg,SIFT,30422,"[30422, 128]"
frame_063.jpg,SIFT,29953,"[29953, 128]"
frame_064.jpg,SIFT,23568,"[23568, 128]"
frame_065.jpg,SIFT,21470,"[21470, 128]"
frame_066.jpg,SIFT,22801,"[22801, 128]"
frame_067.jpg,SIFT,22971,"[22971, 128]"
frame_068.jpg,SIFT,27572,"[27572, 128]"
frame_069.jpg,SIFT,22691,"[22691, 128]"
frame_070.jpg,SIFT,22670,"[22670, 128]"
frame_071.jpg,SIFT,24463,"[24463, 128]"
frame_072.jpg,SIFT,34633,"[34633, 128]"
frame_073.jpg,SIFT,28958,"[28958, 128]"
frame_074.jpg,SIFT,33921,"[33921, 128]"
frame_075.jpg,SIFT,32197,"[32197, 128]"
frame_076.jpg,SIFT,30023,"[30023, 128]"
frame_077.jpg,SIFT,33460,"[33460, 128]"
frame_078.jpg,SIFT,32772,"[32772, 128]"
frame_079.jpg,SIFT,33161,"[33161, 128]"
frame_080.jpg,SIFT,38438,"[38438, 128]"
frame_081.jpg,SIFT,32321,"[32321, 128]"
frame_082.jpg,SIFT,33194,"[33194, 128]"
frame_083.jpg,SIFT,28913,"[28913, 128]"
frame_084.jpg,SIFT,30281,"[30281, 128]"
frame_085.jpg,SIFT,21569,"[21569, 128]"
frame_086.jpg,SIFT,20502,"[20502, 128]"
frame_087.jpg,SIFT,23209,"[23209, 128]"
frame_088.jpg,SIFT,9940,"[9940, 128]"
frame_089.jpg,SIFT,13015,"[13015, 128]"
frame_090.jpg,SIFT,22221,"[22221, 128]"
frame_091.jpg,SIFT,22907,"[22907, 128]"
frame_092.jpg,SIFT,29143,"[29143, 128]"
frame_093.jpg,SIFT,18990,"[18990, 128]"
frame_094.jpg,SIFT,20496,"[20496, 128]"
frame_095.jpg,SIFT,22935,"[22935, 128]"
frame_096.jpg,SIFT,20390,"[20390, 128]"
frame_097.jpg,SIFT,16037,"[16037, 128]"
frame_098.jpg,SIFT,18646,"[18646, 128]"
frame_099.jpg,SIFT,24828,"[24828, 128]"
frame_100.jpg,SIFT,27956,"[27956, 128]"
frame_101.jpg,SIFT,28396,"[28396, 128]"
frame_102.jpg,SIFT,29851,"[29851, 128]"
frame_103.jpg,SIFT,29171,"[29171, 128]"
frame_104.jpg,SIFT,33852,"[33852, 128]"
frame_105.jpg,SIFT,19489,"[19489, 128]"
frame_106.jpg,SIFT,18143,"[18143, 128]"
