scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
arch,frame_001-frame_003,1500,938,0.625,5.751,OK
arch,frame_003-frame_004,1500,913,0.609,0.351,OK
arch,frame_004-frame_005,1500,934,0.623,0.982,OK
arch,frame_005-frame_006,1500,829,0.553,0.847,OK
arch,frame_006-frame_007,1500,862,0.575,0.725,OK
arch,frame_007-frame_008,1156,492,0.426,1.572,OK
arch,frame_008-frame_009,997,474,0.475,2.271,OK
arch,frame_009-frame_010,1123,540,0.481,3.697,OK
arch,frame_010-frame_011,1111,593,0.534,2.193,OK
arch,frame_011-frame_012,1091,546,0.5,1.32,OK
arch,frame_012-frame_013,1219,636,0.522,2.082,OK
arch,frame_013-frame_014,1244,660,0.531,3.11,OK
arch,frame_014-frame_015,1213,612,0.505,2.536,OK
arch,frame_015-frame_016,1129,640,0.567,2.308,OK
arch,frame_016-frame_017,1052,512,0.487,3.152,OK
arch,frame_017-frame_018,1049,532,0.507,2.619,OK
arch,frame_018-frame_019,1198,603,0.503,3.241,OK
arch,frame_019-frame_020,1433,796,0.555,0.362,OK
arch,frame_020-frame_021,1398,733,0.524,0.782,OK
arch,frame_021-frame_022,1138,593,0.521,0.462,OK
arch,frame_022-frame_024,580,302,0.521,3.545,OK
arch,frame_024-frame_025,934,484,0.518,0.446,OK
arch,frame_025-frame_026,1000,497,0.497,0.557,OK
arch,frame_026-frame_027,887,396,0.446,1.207,OK
arch,frame_027-frame_028,787,391,0.497,0.524,OK
arch,frame_028-frame_029,1115,583,0.523,0.4,OK
arch,frame_029-frame_030,1282,675,0.527,0.489,OK
arch,frame_030-frame_031,1005,439,0.437,0.47,OK
arch,frame_031-frame_032,918,406,0.442,0.5,OK
arch,frame_032-frame_033,680,267,0.393,0.808,OK
arch,frame_033-frame_034,852,430,0.505,0.672,OK
arch,frame_034-frame_035,963,493,0.512,0.59,OK
arch,frame_035-frame_036,902,463,0.513,3.084,OK
arch,frame_036-frame_037,1274,711,0.558,1.603,OK
arch,frame_037-frame_038,1351,624,0.462,0.308,OK
arch,frame_038-frame_039,1500,733,0.489,1.214,OK
arch,frame_039-frame_040,592,221,0.373,1.895,OK
arch,frame_040-frame_041,414,177,0.428,0.551,OK
arch,frame_041-frame_042,1408,748,0.531,0.755,OK
arch,frame_042-frame_043,1262,732,0.58,1.159,OK
arch,frame_043-frame_044,1012,499,0.493,0.51,OK
arch,frame_044-frame_045,1056,588,0.557,0.488,OK
arch,frame_045-frame_046,774,389,0.503,0.886,OK
arch,frame_046-frame_047,805,406,0.504,0.741,OK
arch,frame_047-frame_048,710,320,0.451,0.696,OK
arch,frame_048-frame_049,1066,497,0.466,0.345,OK
arch,frame_049-frame_050,1249,641,0.513,0.431,OK
arch,frame_050-frame_051,1107,601,0.543,0.45,OK
arch,frame_051-frame_052,1319,689,0.522,0.765,OK
arch,frame_052-frame_053,1254,656,0.523,0.81,OK
arch,frame_053-frame_054,1500,818,0.545,0.572,OK
arch,frame_054-frame_055,1295,711,0.549,0.374,OK
arch,frame_055-frame_056,1242,683,0.55,0.418,OK
arch,frame_056-frame_057,1146,594,0.518,0.369,OK
arch,frame_057-frame_058,1184,604,0.51,1.091,OK
arch,frame_058-frame_059,1217,648,0.532,1.089,OK
arch,frame_059-frame_060,1140,602,0.528,0.705,OK
