scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
arch,frame_001-frame_006 (non-sequential),1772,1062,0.599,2.928,OK
arch,frame_006-frame_011 (non-sequential),621,288,0.464,24.723,OK
arch,frame_011-frame_016 (non-sequential),420,196,0.467,18.311,OK
arch,frame_016-frame_021 (non-sequential),499,251,0.503,10.907,OK
arch,frame_021-frame_026 (non-sequential),347,145,0.418,2.516,OK
arch,frame_026-frame_031 (non-sequential),299,147,0.492,0.625,OK
arch,frame_031-frame_036 (non-sequential),346,166,0.48,2.88,OK
arch,frame_036-frame_041 (non-sequential),449,193,0.43,9.019,OK
arch,frame_041-frame_046 (non-sequential),360,187,0.519,1.324,OK
arch,frame_046-frame_051 (non-sequential),348,172,0.494,3.419,OK
arch,frame_051-frame_056 (non-sequential),458,200,0.437,0.923,OK
arch,frame_056-frame_061 (non-sequential),454,207,0.456,2.482,OK
arch,frame_061-frame_066 (non-sequential),407,193,0.474,1.2,OK
arch,frame_066-frame_071 (non-sequential),571,278,0.487,17.132,OK
arch,frame_071-frame_076 (non-sequential),404,203,0.502,7.368,OK
arch,frame_076-frame_081 (non-sequential),456,207,0.454,37.029,OK
arch,frame_081-frame_086 (non-sequential),591,272,0.46,18.808,OK
arch,frame_086-frame_091 (non-sequential),1154,591,0.512,26.668,OK
arch,frame_091-frame_096 (non-sequential),878,460,0.524,4.807,OK
arch,frame_096-frame_101 (non-sequential),516,234,0.453,387.507,OK
arch,frame_101-frame_106 (non-sequential),568,279,0.491,22.033,OK
arch,frame_106-frame_111 (non-sequential),355,169,0.476,3.223,OK
arch,frame_111-frame_116 (non-sequential),550,268,0.487,2.588,OK
arch,frame_116-frame_121 (non-sequential),342,140,0.409,1.128,OK
arch,frame_121-frame_126 (non-sequential),551,307,0.557,1.555,OK
