scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
arch,frame_001-frame_003,3000,2123,0.708,2.425,OK
arch,frame_003-frame_004,3000,2349,0.783,0.521,OK
arch,frame_004-frame_005,3000,2424,0.808,0.744,OK
arch,frame_005-frame_006,3000,1927,0.642,0.706,OK
arch,frame_006-frame_007,3000,2144,0.715,1.213,OK
arch,frame_007-frame_008,1429,747,0.523,1.858,OK
arch,frame_008-frame_009,1228,668,0.544,0.562,OK
arch,frame_010-frame_011,1373,760,0.554,0.879,OK
arch,frame_011-frame_012,1362,835,0.613,2.406,OK
arch,frame_012-frame_013,1586,915,0.577,2.79,OK
arch,frame_013-frame_014,1594,1077,0.676,2.466,OK
arch,frame_014-frame_015,1523,844,0.554,3.013,OK
arch,frame_015-frame_016,1436,871,0.607,1.224,OK
arch,frame_016-frame_017,1321,789,0.597,0.863,OK
arch,frame_017-frame_018,1298,834,0.643,3.083,OK
arch,frame_018-frame_019,1445,906,0.627,0.838,OK
arch,frame_019-frame_021,1175,740,0.63,0.74,OK
arch,frame_021-frame_022,1440,833,0.578,1.288,OK
arch,frame_022-frame_023,1424,921,0.647,1.163,OK
arch,frame_023-frame_024,1490,872,0.585,1.501,OK
arch,frame_024-frame_025,1250,817,0.654,0.762,OK
arch,frame_025-frame_026,1281,746,0.582,0.974,OK
arch,frame_026-frame_027,1104,621,0.562,0.488,OK
arch,frame_027-frame_028,976,556,0.57,0.916,OK
arch,frame_028-frame_029,1430,869,0.608,0.385,OK
arch,frame_029-frame_030,1608,1084,0.674,1.183,OK
arch,frame_030-frame_031,1250,688,0.55,0.658,OK
arch,frame_031-frame_032,1147,652,0.568,1.161,OK
arch,frame_032-frame_033,846,461,0.545,1.03,OK
arch,frame_033-frame_034,1072,674,0.629,0.558,OK
arch,frame_034-frame_035,1181,690,0.584,1.94,OK
arch,frame_035-frame_036,1167,718,0.615,2.806,OK
arch,frame_036-frame_037,1576,1155,0.733,2.014,OK
arch,frame_037-frame_038,1656,1010,0.61,0.634,OK
arch,frame_038-frame_039,2034,1163,0.572,0.792,OK
arch,frame_039-frame_040,746,349,0.468,1.393,OK
arch,frame_040-frame_041,517,267,0.516,2.399,OK
arch,frame_041-frame_042,1724,1051,0.61,0.528,OK
arch,frame_042-frame_043,1535,952,0.62,1.609,OK
arch,frame_043-frame_044,1285,744,0.579,0.729,OK
arch,frame_044-frame_045,1338,956,0.714,0.95,OK
arch,frame_045-frame_046,1008,559,0.555,0.774,OK
arch,frame_046-frame_047,1056,580,0.549,0.639,OK
arch,frame_047-frame_048,875,531,0.607,1.107,OK
arch,frame_048-frame_049,1372,810,0.59,0.592,OK
arch,frame_049-frame_050,1582,921,0.582,0.907,OK
arch,frame_050-frame_051,1407,876,0.623,0.523,OK
arch,frame_051-frame_052,1657,991,0.598,0.605,OK
arch,frame_052-frame_053,1584,927,0.585,0.696,OK
arch,frame_053-frame_054,1993,1297,0.651,0.911,OK
arch,frame_054-frame_055,1653,984,0.595,0.527,OK
arch,frame_055-frame_056,1570,915,0.583,0.75,OK
arch,frame_056-frame_057,1461,897,0.614,0.616,OK
arch,frame_057-frame_058,1507,951,0.631,0.681,OK
arch,frame_058-frame_059,1542,1006,0.652,1.991,OK
arch,frame_059-frame_060,1437,933,0.649,1.754,OK
arch,frame_061-frame_062,1795,1104,0.615,1.166,OK
arch,frame_062-frame_063,1783,1061,0.595,1.637,OK
arch,frame_064-frame_065,1340,780,0.582,1.422,OK
arch,frame_065-frame_066,1539,966,0.628,1.425,OK
arch,frame_066-frame_067,1668,892,0.535,1.143,OK
arch,frame_067-frame_068,1622,898,0.554,1.527,OK
arch,frame_068-frame_069,1622,890,0.549,1.303,OK
arch,frame_069-frame_070,1575,917,0.582,2.884,OK
arch,frame_070-frame_071,1514,817,0.54,1.733,OK
arch,frame_072-frame_073,1720,1016,0.591,2.464,OK
arch,frame_073-frame_074,1691,1011,0.598,1.235,OK
arch,frame_074-frame_075,1916,1245,0.65,0.746,OK
arch,frame_075-frame_076,1662,1069,0.643,1.038,OK
arch,frame_076-frame_077,1606,1032,0.643,0.939,OK
arch,frame_077-frame_078,1949,1297,0.665,0.955,OK
arch,frame_078-frame_079,1796,1064,0.592,1.263,OK
arch,frame_079-frame_080,1839,1106,0.601,1.501,OK
arch,frame_080-frame_081,1692,1040,0.615,1.853,OK
arch,frame_081-frame_082,2181,1354,0.621,1.297,OK
arch,frame_082-frame_083,1856,1119,0.603,1.139,OK
arch,frame_083-frame_084,1764,1031,0.584,4.185,OK
arch,frame_084-frame_085,1795,1032,0.575,4.218,OK
arch,frame_085-frame_086,1840,924,0.502,1.19,OK
arch,frame_086-frame_087,1879,1144,0.609,1.497,OK
arch,frame_087-frame_088,941,444,0.472,1.97,OK
arch,frame_088-frame_089,1216,653,0.537,3.352,OK
arch,frame_090-frame_091,2271,1420,0.625,3.155,OK
arch,frame_091-frame_092,2001,1138,0.569,2.59,OK
arch,frame_092-frame_093,1736,984,0.567,1.299,OK
arch,frame_093-frame_094,1607,978,0.609,1.318,OK
arch,frame_094-frame_095,1675,1036,0.619,0.851,OK
arch,frame_095-frame_096,1573,926,0.589,1.515,OK
arch,frame_096-frame_097,1517,823,0.543,1.258,OK
arch,frame_097-frame_098,1297,789,0.608,0.423,OK
arch,frame_098-frame_099,1620,972,0.6,0.845,OK
arch,frame_099-frame_100,1617,989,0.612,4.3,OK
arch,frame_100-frame_101,1639,1097,0.669,0.656,OK
arch,frame_101-frame_102,1854,1230,0.663,0.829,OK
arch,frame_102-frame_103,1803,1063,0.59,0.464,OK
arch,frame_104-frame_105,1408,840,0.597,1.527,OK
arch,frame_105-frame_106,1196,734,0.614,2.751,OK
arch,frame_106-frame_107,1081,604,0.559,1.577,OK
arch,frame_107-frame_108,1358,852,0.627,4.822,OK
arch,frame_108-frame_109,1088,648,0.596,2.13,OK
arch,frame_109-frame_110,1239,707,0.571,2.456,OK
arch,frame_110-frame_111,1354,829,0.612,1.37,OK
arch,frame_111-frame_112,1890,1183,0.626,0.601,OK
arch,frame_112-frame_113,1764,1203,0.682,1.27,OK
arch,frame_113-frame_114,1699,1058,0.623,2.797,OK
arch,frame_114-frame_115,1763,1078,0.611,3.806,OK
arch,frame_116-frame_117,1087,539,0.496,3.417,OK
arch,frame_117-frame_118,959,566,0.59,2.909,OK
arch,frame_118-frame_119,1188,722,0.608,0.919,OK
arch,frame_119-frame_120,978,637,0.651,3.294,OK
arch,frame_120-frame_121,1309,718,0.549,0.566,OK
arch,frame_121-frame_122,1186,705,0.594,1.494,OK
arch,frame_122-frame_123,1195,649,0.543,0.491,OK
arch,frame_123-frame_124,1300,757,0.582,0.438,OK
arch,frame_124-frame_125,1436,918,0.639,1.198,OK
