scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
arch,frame_001-frame_003,2000,1639,0.82,1.319,OK
arch,frame_003-frame_004,2000,1345,0.672,0.564,OK
arch,frame_004-frame_005,2000,1351,0.675,2.388,OK
arch,frame_005-frame_006,2000,1399,0.7,1.827,OK
arch,frame_006-frame_007,2000,1373,0.686,0.947,OK
arch,frame_007-frame_008,1196,649,0.543,2.714,OK
arch,frame_008-frame_009,1124,633,0.563,3.514,OK
arch,frame_009-frame_010,1203,657,0.546,1.836,OK
arch,frame_010-frame_011,1215,661,0.544,1.016,OK
arch,frame_011-frame_012,1159,656,0.566,2.606,OK
arch,frame_012-frame_013,1303,777,0.596,1.726,OK
arch,frame_013-frame_014,1392,952,0.684,2.268,OK
arch,frame_014-frame_015,1242,763,0.614,3.879,OK
arch,frame_015-frame_016,1264,743,0.588,2.249,OK
arch,frame_016-frame_017,1106,695,0.628,1.931,OK
arch,frame_017-frame_018,1213,725,0.598,2.284,OK
arch,frame_018-frame_019,1332,794,0.596,2.162,OK
arch,frame_019-frame_020,1565,975,0.623,0.579,OK
arch,frame_020-frame_021,1484,842,0.567,0.592,OK
arch,frame_021-frame_023,622,401,0.645,0.908,OK
arch,frame_023-frame_024,1208,834,0.69,1.691,OK
arch,frame_025-frame_026,1032,598,0.579,0.661,OK
arch,frame_026-frame_027,985,555,0.563,1.593,OK
arch,frame_027-frame_028,835,498,0.596,0.619,OK
arch,frame_028-frame_029,1152,749,0.65,0.478,OK
arch,frame_029-frame_030,1346,839,0.623,0.778,OK
arch,frame_030-frame_031,1081,629,0.582,0.733,OK
arch,frame_031-frame_032,1035,526,0.508,0.942,OK
arch,frame_032-frame_033,746,373,0.5,1.639,OK
arch,frame_033-frame_034,930,547,0.588,0.448,OK
arch,frame_034-frame_035,1079,583,0.54,0.699,OK
arch,frame_035-frame_036,980,569,0.581,2.42,OK
arch,frame_036-frame_037,1338,826,0.617,0.723,OK
arch,frame_037-frame_038,1458,853,0.585,0.781,OK
arch,frame_038-frame_039,1750,1028,0.587,1.051,OK
arch,frame_040-frame_041,500,234,0.468,0.526,OK
arch,frame_041-frame_042,1507,862,0.572,0.584,OK
arch,frame_042-frame_043,1284,817,0.636,0.913,OK
arch,frame_043-frame_044,1198,643,0.537,1.655,OK
arch,frame_044-frame_045,1173,736,0.627,0.662,OK
arch,frame_045-frame_046,906,501,0.553,0.575,OK
arch,frame_046-frame_047,863,463,0.537,0.989,OK
arch,frame_047-frame_048,776,386,0.497,1.075,OK
arch,frame_048-frame_049,1107,615,0.556,0.996,OK
