scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
bin_fps2,frame_001-frame_006 (non-sequential),500,334,0.668,2.949,OK
bin_fps2,frame_006-frame_011 (non-sequential),312,172,0.551,5.138,OK
bin_fps2,frame_011-frame_016 (non-sequential),157,97,0.618,1.146,OK
bin_fps2,frame_016-frame_021 (non-sequential),358,161,0.45,2.172,OK
bin_fps2,frame_021-frame_026 (non-sequential),243,181,0.745,1.606,OK
bin_fps2,frame_026-frame_031 (non-sequential),357,293,0.821,0.958,OK
bin_fps2,frame_031-frame_036 (non-sequential),417,266,0.638,3.242,OK
bin_fps2,frame_036-frame_041 (non-sequential),500,301,0.602,2.294,OK
bin_fps2,frame_041-frame_046 (non-sequential),355,198,0.558,0.233,OK
bin_fps2,frame_046-frame_051 (non-sequential),236,151,0.64,2.442,OK
bin_fps2,frame_051-frame_056 (non-sequential),298,180,0.604,0.279,OK
bin_fps2,frame_056-frame_061 (non-sequential),329,203,0.617,5.849,OK
bin_fps2,frame_061-frame_066 (non-sequential),231,108,0.468,5.764,OK
bin_fps2,frame_066-frame_071 (non-sequential),209,146,0.699,6.398,OK
bin_fps2,frame_071-frame_076 (non-sequential),130,90,0.692,11.343,OK
bin_fps2,frame_076-frame_081 (non-sequential),129,95,0.736,0.313,OK
bin_fps2,frame_081-frame_086 (non-sequential),173,131,0.757,0.314,OK
bin_fps2,frame_086-frame_091 (non-sequential),150,109,0.727,0.217,OK
bin_fps2,frame_091-frame_096 (non-sequential),259,199,0.768,1.504,OK
bin_fps2,frame_096-frame_101 (non-sequential),343,248,0.723,5.798,OK
bin_fps2,frame_101-frame_106 (non-sequential),200,93,0.465,2.731,OK
bin_fps2,frame_106-frame_111 (non-sequential),223,137,0.614,5.312,OK
bin_fps2,frame_111-frame_116 (non-sequential),252,164,0.651,0.868,OK
bin_fps2,frame_116-frame_121 (non-sequential),213,101,0.474,11.59,OK
bin_fps2,frame_121-frame_126 (non-sequential),210,142,0.676,0.196,OK
bin_fps2,frame_126-frame_131 (non-sequential),111,84,0.757,0.402,OK
bin_fps2,frame_131-frame_136 (non-sequential),128,89,0.695,0.174,OK
