scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
bin_fps2,frame_001-frame_002,500,421,0.842,0.765,OK
bin_fps2,frame_002-frame_003,500,433,0.866,0.886,OK
bin_fps2,frame_003-frame_004,500,428,0.856,1.285,OK
bin_fps2,frame_004-frame_006,500,374,0.748,0.474,OK
bin_fps2,frame_006-frame_007,500,380,0.76,1.833,OK
bin_fps2,frame_007-frame_008,500,390,0.78,0.328,OK
bin_fps2,frame_008-frame_009,500,388,0.776,6.864,OK
bin_fps2,frame_009-frame_010,500,379,0.758,0.335,OK
bin_fps2,frame_010-frame_011,500,404,0.808,0.349,OK
bin_fps2,frame_011-frame_012,500,422,0.844,0.864,OK
bin_fps2,frame_012-frame_013,500,355,0.71,0.591,OK
bin_fps2,frame_013-frame_014,500,354,0.708,0.307,OK
bin_fps2,frame_014-frame_015,500,383,0.766,0.909,OK
bin_fps2,frame_015-frame_016,500,424,0.848,0.546,OK
bin_fps2,frame_016-frame_017,500,410,0.82,2.319,OK
bin_fps2,frame_017-frame_018,500,429,0.858,0.719,OK
bin_fps2,frame_018-frame_019,500,402,0.804,0.513,OK
bin_fps2,frame_019-frame_020,500,381,0.762,0.647,OK
bin_fps2,frame_020-frame_021,500,371,0.742,1.137,OK
bin_fps2,frame_021-frame_022,500,374,0.748,1.561,OK
bin_fps2,frame_022-frame_024,500,435,0.87,0.803,OK
bin_fps2,frame_024-frame_025,500,372,0.744,0.641,OK
bin_fps2,frame_025-frame_026,500,417,0.834,0.754,OK
bin_fps2,frame_026-frame_027,500,349,0.698,0.307,OK
bin_fps2,frame_027-frame_029,500,343,0.686,2.718,OK
bin_fps2,frame_029-frame_030,500,324,0.648,0.311,OK
bin_fps2,frame_030-frame_031,500,292,0.584,0.856,OK
bin_fps2,frame_031-frame_032,500,342,0.684,2.226,OK
bin_fps2,frame_032-frame_033,500,312,0.624,1.813,OK
bin_fps2,frame_033-frame_034,500,319,0.638,1.892,OK
bin_fps2,frame_034-frame_035,500,330,0.66,0.521,OK
bin_fps2,frame_035-frame_036,500,383,0.766,1.239,OK
bin_fps2,frame_036-frame_037,500,349,0.698,0.844,OK
bin_fps2,frame_037-frame_038,500,354,0.708,0.739,OK
bin_fps2,frame_038-frame_039,500,416,0.832,0.351,OK
bin_fps2,frame_039-frame_040,500,434,0.868,1.282,OK
bin_fps2,frame_040-frame_041,500,447,0.894,0.872,OK
bin_fps2,frame_041-frame_042,500,402,0.804,1.336,OK
bin_fps2,frame_042-frame_043,500,446,0.892,0.6,OK
bin_fps2,frame_043-frame_044,500,323,0.646,0.395,OK
bin_fps2,frame_044-frame_045,500,389,0.778,0.491,OK
bin_fps2,frame_045-frame_046,500,391,0.782,0.673,OK
bin_fps2,frame_046-frame_047,500,415,0.83,0.745,OK
bin_fps2,frame_047-frame_048,500,457,0.914,0.693,OK
bin_fps2,frame_048-frame_049,500,406,0.812,0.51,OK
bin_fps2,frame_049-frame_050,500,369,0.738,1.605,OK
bin_fps2,frame_050-frame_051,500,365,0.73,0.315,OK
bin_fps2,frame_051-frame_052,500,422,0.844,0.508,OK
bin_fps2,frame_052-frame_053,500,332,0.664,2.809,OK
bin_fps2,frame_053-frame_054,500,341,0.682,3.242,OK
bin_fps2,frame_054-frame_055,500,339,0.678,1.812,OK
bin_fps2,frame_055-frame_056,500,349,0.698,0.817,OK
bin_fps2,frame_056-frame_057,500,327,0.654,0.277,OK
bin_fps2,frame_057-frame_058,500,374,0.748,2.202,OK
bin_fps2,frame_058-frame_059,500,349,0.698,3.722,OK
bin_fps2,frame_059-frame_060,500,372,0.744,3.478,OK
bin_fps2,frame_060-frame_061,500,334,0.668,1.277,OK
bin_fps2,frame_061-frame_062,500,333,0.666,1.207,OK
bin_fps2,frame_062-frame_063,500,310,0.62,1.008,OK
bin_fps2,frame_063-frame_064,500,342,0.684,0.772,OK
bin_fps2,frame_064-frame_065,500,367,0.734,0.634,OK
bin_fps2,frame_065-frame_066,500,396,0.792,2.06,OK
bin_fps2,frame_066-frame_067,500,438,0.876,0.385,OK
bin_fps2,frame_067-frame_068,500,419,0.838,0.879,OK
bin_fps2,frame_068-frame_069,500,379,0.758,0.456,OK
bin_fps2,frame_069-frame_070,500,414,0.828,1.094,OK
bin_fps2,frame_070-frame_071,500,401,0.802,0.963,OK
bin_fps2,frame_071-frame_072,500,444,0.888,0.9,OK
bin_fps2,frame_072-frame_073,500,384,0.768,1.157,OK
bin_fps2,frame_073-frame_074,500,397,0.794,0.451,OK
bin_fps2,frame_074-frame_075,500,440,0.88,0.287,OK
bin_fps2,frame_075-frame_076,500,462,0.924,0.303,OK
bin_fps2,frame_076-frame_077,500,446,0.892,0.258,OK
bin_fps2,frame_077-frame_078,500,396,0.792,0.226,OK
bin_fps2,frame_078-frame_079,500,386,0.772,0.166,OK
bin_fps2,frame_079-frame_080,500,465,0.93,0.504,OK
bin_fps2,frame_080-frame_081,500,389,0.778,0.243,OK
bin_fps2,frame_081-frame_082,500,450,0.9,0.477,OK
bin_fps2,frame_082-frame_083,500,468,0.936,0.521,OK
bin_fps2,frame_083-frame_084,500,406,0.812,0.41,OK
bin_fps2,frame_084-frame_085,500,427,0.854,0.729,OK
bin_fps2,frame_085-frame_086,500,429,0.858,0.573,OK
bin_fps2,frame_086-frame_087,500,442,0.884,0.412,OK
bin_fps2,frame_087-frame_088,500,446,0.892,0.29,OK
bin_fps2,frame_088-frame_089,500,409,0.818,0.444,OK
