scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
bin_fps2,frame_001-frame_002,236,211,0.894,0.183,OK
bin_fps2,frame_002-frame_004,120,99,0.825,0.207,OK
bin_fps2,frame_004-frame_005,112,85,0.759,0.094,OK
bin_fps2,frame_005-frame_008,72,57,0.792,0.713,OK
bin_fps2,frame_008-frame_009,143,118,0.825,0.148,OK
bin_fps2,frame_009-frame_012,61,47,0.77,0.724,OK
bin_fps2,frame_012-frame_013,119,96,0.807,0.747,OK
bin_fps2,frame_013-frame_014,84,68,0.81,4.214,OK
bin_fps2,frame_014-frame_015,121,107,0.884,0.042,OK
bin_fps2,frame_015-frame_016,81,73,0.901,0.071,OK
bin_fps2,frame_016-frame_017,161,141,0.876,0.092,OK
bin_fps2,frame_017-frame_018,112,89,0.795,0.094,OK
bin_fps2,frame_018-frame_019,199,178,0.894,0.481,OK
bin_fps2,frame_019-frame_020,203,185,0.911,0.092,OK
bin_fps2,frame_020-frame_021,246,218,0.886,0.082,OK
bin_fps2,frame_021-frame_022,288,254,0.882,0.162,OK
bin_fps2,frame_022-frame_024,188,149,0.793,0.651,OK
bin_fps2,frame_024-frame_025,320,286,0.894,0.177,OK
bin_fps2,frame_025-frame_026,462,411,0.89,0.265,OK
bin_fps2,frame_026-frame_027,487,433,0.889,0.357,OK
bin_fps2,frame_027-frame_028,343,324,0.945,0.104,OK
bin_fps2,frame_028-frame_029,169,131,0.775,0.121,OK
bin_fps2,frame_029-frame_030,229,165,0.721,0.046,OK
bin_fps2,frame_030-frame_031,176,131,0.744,0.025,OK
bin_fps2,frame_031-frame_032,166,118,0.711,0.037,OK
bin_fps2,frame_032-frame_033,132,81,0.614,0.04,OK
bin_fps2,frame_033-frame_034,145,89,0.614,0.183,OK
bin_fps2,frame_034-frame_035,116,70,0.603,0.205,OK
bin_fps2,frame_035-frame_037,61,45,0.738,0.511,OK
bin_fps2,frame_037-frame_038,103,80,0.777,0.014,OK
bin_fps2,frame_038-frame_039,112,91,0.812,0.036,OK
bin_fps2,frame_039-frame_040,114,96,0.842,0.346,OK
bin_fps2,frame_040-frame_041,108,92,0.852,0.084,OK
bin_fps2,frame_041-frame_042,116,82,0.707,0.109,OK
bin_fps2,frame_042-frame_043,108,77,0.713,0.027,OK
bin_fps2,frame_043-frame_044,78,58,0.744,26.149,OK
bin_fps2,frame_044-frame_045,77,58,0.753,1.973,OK
bin_fps2,frame_045-frame_046,65,56,0.862,0.253,OK
bin_fps2,frame_046-frame_048,60,50,0.833,0.825,OK
bin_fps2,frame_048-frame_049,109,90,0.826,0.048,OK
bin_fps2,frame_049-frame_051,70,45,0.643,0.593,OK
bin_fps2,frame_051-frame_052,80,66,0.825,0.616,OK
bin_fps2,frame_052-frame_053,58,31,0.534,0.074,OK
bin_fps2,frame_053-frame_054,45,33,0.733,0.439,OK
bin_fps2,frame_054-frame_055,30,19,0.633,0.068,OK
bin_fps2,frame_055-frame_056,57,42,0.737,0.297,OK
bin_fps2,frame_056-frame_057,28,20,0.714,0.147,OK
bin_fps2,frame_057-frame_058,29,19,0.655,0.76,OK
bin_fps2,frame_058-frame_059,36,31,0.861,0.083,OK
bin_fps2,frame_059-frame_060,90,79,0.878,0.268,OK
bin_fps2,frame_060-frame_061,58,42,0.724,0.034,OK
bin_fps2,frame_061-frame_062,64,51,0.797,0.037,OK
bin_fps2,frame_062-frame_063,201,159,0.791,0.043,OK
bin_fps2,frame_063-frame_064,254,215,0.846,0.135,OK
bin_fps2,frame_064-frame_065,491,448,0.912,0.26,OK
bin_fps2,frame_065-frame_066,522,457,0.875,0.244,OK
bin_fps2,frame_066-frame_067,613,515,0.84,0.183,OK
bin_fps2,frame_067-frame_068,495,422,0.853,0.212,OK
bin_fps2,frame_068-frame_069,512,443,0.865,0.16,OK
bin_fps2,frame_069-frame_070,406,358,0.882,0.161,OK
