scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
bin_fps2,frame_001-frame_002,189,158,0.836,0.17,OK
bin_fps2,frame_002-frame_003,133,118,0.887,0.201,OK
bin_fps2,frame_003-frame_004,173,140,0.809,0.234,OK
bin_fps2,frame_004-frame_005,98,82,0.837,0.272,OK
bin_fps2,frame_005-frame_006,152,131,0.862,0.255,OK
bin_fps2,frame_006-frame_008,95,82,0.863,0.206,OK
bin_fps2,frame_008-frame_009,138,118,0.855,0.255,OK
bin_fps2,frame_009-frame_011,77,65,0.844,0.259,OK
bin_fps2,frame_011-frame_012,63,51,0.81,0.251,OK
bin_fps2,frame_012-frame_013,132,110,0.833,0.23,OK
bin_fps2,frame_013-frame_014,99,75,0.758,0.212,OK
bin_fps2,frame_014-frame_015,123,104,0.846,0.24,OK
bin_fps2,frame_015-frame_016,110,86,0.782,0.197,OK
bin_fps2,frame_016-frame_017,141,131,0.929,0.213,OK
bin_fps2,frame_017-frame_019,89,62,0.697,0.221,OK
bin_fps2,frame_019-frame_020,263,226,0.859,0.173,OK
bin_fps2,frame_020-frame_021,353,299,0.847,0.259,OK
bin_fps2,frame_021-frame_022,397,344,0.866,0.239,OK
bin_fps2,frame_022-frame_023,282,257,0.911,0.224,OK
bin_fps2,frame_023-frame_024,455,388,0.853,0.209,OK
bin_fps2,frame_024-frame_025,393,346,0.88,0.222,OK
bin_fps2,frame_025-frame_026,529,454,0.858,0.262,OK
bin_fps2,frame_026-frame_027,595,507,0.852,0.237,OK
bin_fps2,frame_027-frame_028,367,318,0.866,0.263,OK
bin_fps2,frame_028-frame_029,164,130,0.793,0.233,OK
bin_fps2,frame_029-frame_031,100,60,0.6,0.198,OK
bin_fps2,frame_031-frame_032,193,122,0.632,0.155,OK
bin_fps2,frame_032-frame_033,127,81,0.638,0.178,OK
bin_fps2,frame_033-frame_034,147,97,0.66,0.248,OK
bin_fps2,frame_034-frame_035,99,66,0.667,0.252,OK
bin_fps2,frame_035-frame_036,68,50,0.735,0.159,OK
