scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
chinese_heritage_centre,frame_001-frame_006 (non-sequential),2000,1797,0.898,0.501,OK
chinese_heritage_centre,frame_006-frame_011 (non-sequential),2000,1768,0.884,0.481,OK
chinese_heritage_centre,frame_011-frame_016 (non-sequential),2000,1759,0.879,0.467,OK
chinese_heritage_centre,frame_016-frame_021 (non-sequential),2000,1745,0.873,0.385,OK
chinese_heritage_centre,frame_021-frame_026 (non-sequential),2000,1615,0.807,0.423,OK
chinese_heritage_centre,frame_026-frame_031 (non-sequential),2000,1664,0.832,0.544,OK
chinese_heritage_centre,frame_031-frame_036 (non-sequential),2000,1585,0.792,0.754,OK
chinese_heritage_centre,frame_036-frame_041 (non-sequential),2000,1742,0.871,0.49,OK
chinese_heritage_centre,frame_041-frame_046 (non-sequential),2000,1732,0.866,0.502,OK
chinese_heritage_centre,frame_046-frame_051 (non-sequential),2000,1580,0.79,0.464,OK
chinese_heritage_centre,frame_051-frame_056 (non-sequential),2000,1676,0.838,0.736,OK
chinese_heritage_centre,frame_056-frame_061 (non-sequential),2000,1591,0.795,3.569,OK
chinese_heritage_centre,frame_061-frame_066 (non-sequential),2000,1624,0.812,0.454,OK
chinese_heritage_centre,frame_066-frame_071 (non-sequential),2000,1682,0.841,0.941,OK
chinese_heritage_centre,frame_071-frame_076 (non-sequential),1664,1327,0.797,0.513,OK
chinese_heritage_centre,frame_076-frame_081 (non-sequential),2000,1607,0.803,0.547,OK
chinese_heritage_centre,frame_081-frame_086 (non-sequential),2000,1591,0.795,7.209,OK
chinese_heritage_centre,frame_086-frame_091 (non-sequential),1984,1478,0.745,0.686,OK
chinese_heritage_centre,frame_091-frame_096 (non-sequential),2000,1441,0.721,0.42,OK
chinese_heritage_centre,frame_096-frame_101 (non-sequential),2000,1598,0.799,0.545,OK
chinese_heritage_centre,frame_101-frame_106 (non-sequential),2000,1749,0.875,0.348,OK
chinese_heritage_centre,frame_106-frame_111 (non-sequential),2000,1843,0.921,0.381,OK
chinese_heritage_centre,frame_111-frame_116 (non-sequential),2000,1709,0.855,0.385,OK
chinese_heritage_centre,frame_116-frame_121 (non-sequential),2000,1675,0.838,1.145,OK
chinese_heritage_centre,frame_121-frame_126 (non-sequential),2000,1500,0.75,0.544,OK
chinese_heritage_centre,frame_126-frame_131 (non-sequential),2000,1794,0.897,0.472,OK
chinese_heritage_centre,frame_131-frame_136 (non-sequential),2000,1729,0.865,0.515,OK
chinese_heritage_centre,frame_136-frame_141 (non-sequential),2000,1637,0.819,0.359,OK
chinese_heritage_centre,frame_141-frame_146 (non-sequential),2000,1657,0.829,0.633,OK
chinese_heritage_centre,frame_146-frame_151 (non-sequential),2000,1825,0.912,0.785,OK
