scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
chinese_heritage_centre,frame_001-frame_003,2000,1855,0.927,0.424,OK
chinese_heritage_centre,frame_003-frame_004,2000,1865,0.932,2.213,OK
chinese_heritage_centre,frame_004-frame_005,2000,1820,0.91,0.314,OK
chinese_heritage_centre,frame_005-frame_007,2000,1746,0.873,0.394,OK
chinese_heritage_centre,frame_007-frame_008,2000,1847,0.923,0.313,OK
chinese_heritage_centre,frame_008-frame_009,2000,1704,0.852,0.371,OK
chinese_heritage_centre,frame_009-frame_010,2000,1825,0.912,0.995,OK
chinese_heritage_centre,frame_010-frame_012,2000,1666,0.833,0.213,OK
chinese_heritage_centre,frame_012-frame_014,2000,1797,0.898,0.291,OK
chinese_heritage_centre,frame_014-frame_015,2000,1795,0.897,0.254,OK
chinese_heritage_centre,frame_015-frame_016,2000,1772,0.886,0.894,OK
chinese_heritage_centre,frame_016-frame_017,2000,1823,0.911,0.403,OK
chinese_heritage_centre,frame_017-frame_018,2000,1730,0.865,0.401,OK
chinese_heritage_centre,frame_018-frame_019,2000,1832,0.916,0.392,OK
chinese_heritage_centre,frame_019-frame_020,2000,1755,0.877,2.313,OK
chinese_heritage_centre,frame_020-frame_021,2000,1824,0.912,0.461,OK
chinese_heritage_centre,frame_021-frame_022,2000,1776,0.888,0.496,OK
chinese_heritage_centre,frame_022-frame_023,2000,1816,0.908,2.997,OK
chinese_heritage_centre,frame_023-frame_025,2000,1752,0.876,0.292,OK
chinese_heritage_centre,frame_025-frame_027,2000,1839,0.919,1.583,OK
chinese_heritage_centre,frame_027-frame_029,2000,1659,0.83,0.512,OK
chinese_heritage_centre,frame_029-frame_030,2000,1814,0.907,1.909,OK
chinese_heritage_centre,frame_030-frame_032,2000,1613,0.806,0.588,OK
chinese_heritage_centre,frame_032-frame_034,2000,1869,0.934,0.44,OK
chinese_heritage_centre,frame_034-frame_035,2000,1785,0.892,0.294,OK
chinese_heritage_centre,frame_035-frame_036,2000,1750,0.875,0.291,OK
chinese_heritage_centre,frame_036-frame_038,2000,1773,0.886,0.28,OK
chinese_heritage_centre,frame_038-frame_040,2000,1755,0.877,0.267,OK
chinese_heritage_centre,frame_040-frame_042,2000,1798,0.899,0.595,OK
chinese_heritage_centre,frame_042-frame_044,2000,1730,0.865,0.332,OK
chinese_heritage_centre,frame_044-frame_045,2000,1798,0.899,0.405,OK
chinese_heritage_centre,frame_045-frame_047,2000,1821,0.91,1.331,OK
chinese_heritage_centre,frame_047-frame_048,2000,1798,0.899,0.41,OK
chinese_heritage_centre,frame_048-frame_050,2000,1720,0.86,0.552,OK
chinese_heritage_centre,frame_050-frame_051,2000,1694,0.847,0.353,OK
chinese_heritage_centre,frame_051-frame_052,2000,1681,0.841,0.31,OK
chinese_heritage_centre,frame_052-frame_053,2000,1715,0.858,0.638,OK
chinese_heritage_centre,frame_053-frame_054,2000,1678,0.839,0.445,OK
chinese_heritage_centre,frame_054-frame_056,2000,1863,0.931,1.183,OK
chinese_heritage_centre,frame_056-frame_057,2000,1866,0.933,0.725,OK
chinese_heritage_centre,frame_057-frame_058,2000,1712,0.856,0.447,OK
chinese_heritage_centre,frame_058-frame_059,2000,1738,0.869,1.064,OK
chinese_heritage_centre,frame_060-frame_061,2000,1831,0.915,0.359,OK
chinese_heritage_centre,frame_061-frame_062,2000,1752,0.876,1.462,OK
chinese_heritage_centre,frame_062-frame_063,2000,1851,0.925,0.345,OK
chinese_heritage_centre,frame_063-frame_064,2000,1724,0.862,3.875,OK
chinese_heritage_centre,frame_064-frame_065,2000,1803,0.901,0.384,OK
chinese_heritage_centre,frame_065-frame_067,2000,1809,0.904,1.736,OK
chinese_heritage_centre,frame_067-frame_068,2000,1813,0.906,0.436,OK
chinese_heritage_centre,frame_068-frame_069,2000,1775,0.887,0.435,OK
chinese_heritage_centre,frame_069-frame_070,2000,1831,0.915,0.787,OK
chinese_heritage_centre,frame_070-frame_071,2000,1807,0.903,0.394,OK
chinese_heritage_centre,frame_071-frame_072,2000,1756,0.878,0.281,OK
chinese_heritage_centre,frame_072-frame_073,2000,1751,0.875,0.525,OK
chinese_heritage_centre,frame_073-frame_075,2000,1797,0.898,0.696,OK
chinese_heritage_centre,frame_075-frame_076,2000,1675,0.838,0.329,OK
chinese_heritage_centre,frame_076-frame_077,2000,1794,0.897,0.447,OK
chinese_heritage_centre,frame_077-frame_078,2000,1762,0.881,0.454,OK
chinese_heritage_centre,frame_078-frame_080,2000,1794,0.897,4.813,OK
chinese_heritage_centre,frame_080-frame_081,2000,1675,0.838,0.317,OK
chinese_heritage_centre,frame_084-frame_085,2000,1644,0.822,0.733,OK
chinese_heritage_centre,frame_085-frame_086,2000,1590,0.795,0.488,OK
chinese_heritage_centre,frame_086-frame_087,2000,1638,0.819,0.36,OK
chinese_heritage_centre,frame_087-frame_088,2000,1658,0.829,0.939,OK
chinese_heritage_centre,frame_089-frame_091,2000,1600,0.8,0.276,OK
chinese_heritage_centre,frame_091-frame_092,2000,1674,0.837,0.58,OK
chinese_heritage_centre,frame_092-frame_093,2000,1649,0.825,0.708,OK
chinese_heritage_centre,frame_095-frame_097,2000,1735,0.868,3.304,OK
chinese_heritage_centre,frame_097-frame_098,2000,1671,0.836,0.467,OK
chinese_heritage_centre,frame_098-frame_099,2000,1735,0.868,1.405,OK
chinese_heritage_centre,frame_099-frame_100,2000,1739,0.87,0.287,OK
chinese_heritage_centre,frame_100-frame_101,2000,1700,0.85,0.513,OK
chinese_heritage_centre,frame_101-frame_102,2000,1699,0.85,0.431,OK
