scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
reaching_high_sculpture_fps2,frame_001-frame_003,1500,1135,0.757,0.413,OK
reaching_high_sculpture_fps2,frame_003-frame_004,1500,1259,0.839,0.343,OK
reaching_high_sculpture_fps2,frame_004-frame_005,1500,1145,0.763,0.334,OK
reaching_high_sculpture_fps2,frame_005-frame_006,1500,1233,0.822,0.42,OK
reaching_high_sculpture_fps2,frame_006-frame_007,1500,1248,0.832,0.407,OK
reaching_high_sculpture_fps2,frame_007-frame_008,1500,1230,0.82,0.356,OK
reaching_high_sculpture_fps2,frame_008-frame_009,1500,1156,0.771,0.522,OK
reaching_high_sculpture_fps2,frame_009-frame_010,1500,1105,0.737,0.363,OK
reaching_high_sculpture_fps2,frame_010-frame_011,1500,1193,0.795,0.395,OK
reaching_high_sculpture_fps2,frame_011-frame_012,1500,1255,0.837,0.203,OK
reaching_high_sculpture_fps2,frame_012-frame_013,1500,1226,0.817,0.247,OK
reaching_high_sculpture_fps2,frame_013-frame_014,1500,1177,0.785,0.302,OK
reaching_high_sculpture_fps2,frame_014-frame_015,1500,1257,0.838,0.443,OK
reaching_high_sculpture_fps2,frame_015-frame_016,1500,1110,0.74,0.301,OK
reaching_high_sculpture_fps2,frame_016-frame_017,1500,1136,0.757,0.315,OK
reaching_high_sculpture_fps2,frame_017-frame_018,1500,1122,0.748,0.592,OK
reaching_high_sculpture_fps2,frame_018-frame_019,1500,1245,0.83,0.339,OK
reaching_high_sculpture_fps2,frame_019-frame_020,1500,1116,0.744,0.387,OK
reaching_high_sculpture_fps2,frame_020-frame_021,1500,1153,0.769,0.297,OK
reaching_high_sculpture_fps2,frame_021-frame_022,1500,1242,0.828,0.447,OK
reaching_high_sculpture_fps2,frame_022-frame_023,1500,1254,0.836,0.404,OK
reaching_high_sculpture_fps2,frame_023-frame_024,1500,1184,0.789,0.376,OK
reaching_high_sculpture_fps2,frame_024-frame_025,1500,1198,0.799,0.217,OK
reaching_high_sculpture_fps2,frame_025-frame_026,1500,1228,0.819,0.232,OK
reaching_high_sculpture_fps2,frame_026-frame_027,1500,1053,0.702,0.394,OK
reaching_high_sculpture_fps2,frame_027-frame_028,1500,1199,0.799,0.257,OK
reaching_high_sculpture_fps2,frame_028-frame_029,1500,1004,0.669,0.342,OK
reaching_high_sculpture_fps2,frame_029-frame_030,1500,1142,0.761,0.349,OK
reaching_high_sculpture_fps2,frame_030-frame_031,1500,1104,0.736,0.315,OK
reaching_high_sculpture_fps2,frame_031-frame_032,1500,1278,0.852,0.311,OK
reaching_high_sculpture_fps2,frame_032-frame_033,1500,1178,0.785,0.427,OK
reaching_high_sculpture_fps2,frame_033-frame_034,1500,1199,0.799,0.319,OK
reaching_high_sculpture_fps2,frame_034-frame_035,1500,1234,0.823,0.271,OK
reaching_high_sculpture_fps2,frame_035-frame_036,1500,1139,0.759,0.429,OK
reaching_high_sculpture_fps2,frame_036-frame_037,1500,1177,0.785,0.464,OK
reaching_high_sculpture_fps2,frame_037-frame_038,1500,1133,0.755,0.405,OK
reaching_high_sculpture_fps2,frame_038-frame_039,1500,1165,0.777,0.26,OK
reaching_high_sculpture_fps2,frame_039-frame_040,1500,1213,0.809,0.275,OK
reaching_high_sculpture_fps2,frame_040-frame_041,1500,1251,0.834,0.188,OK
reaching_high_sculpture_fps2,frame_041-frame_042,1500,1183,0.789,0.392,OK
reaching_high_sculpture_fps2,frame_042-frame_043,1500,1209,0.806,0.48,OK
reaching_high_sculpture_fps2,frame_043-frame_044,1500,1121,0.747,0.221,OK
reaching_high_sculpture_fps2,frame_044-frame_045,1500,1256,0.837,0.292,OK
reaching_high_sculpture_fps2,frame_045-frame_046,1500,1132,0.755,0.297,OK
reaching_high_sculpture_fps2,frame_046-frame_047,1500,1217,0.811,0.318,OK
reaching_high_sculpture_fps2,frame_047-frame_048,1500,1228,0.819,0.295,OK
reaching_high_sculpture_fps2,frame_048-frame_051,1500,1050,0.7,0.394,OK
reaching_high_sculpture_fps2,frame_051-frame_052,1500,1199,0.799,0.433,OK
reaching_high_sculpture_fps2,frame_052-frame_053,1500,1086,0.724,0.34,OK
reaching_high_sculpture_fps2,frame_053-frame_054,1500,1264,0.843,0.621,OK
reaching_high_sculpture_fps2,frame_054-frame_055,1500,1187,0.791,0.254,OK
reaching_high_sculpture_fps2,frame_055-frame_056,1500,1178,0.785,0.38,OK
reaching_high_sculpture_fps2,frame_056-frame_057,1500,1147,0.765,0.41,OK
reaching_high_sculpture_fps2,frame_057-frame_058,1500,1133,0.755,0.317,OK
reaching_high_sculpture_fps2,frame_058-frame_059,1500,1143,0.762,0.593,OK
reaching_high_sculpture_fps2,frame_059-frame_060,1500,1249,0.833,0.272,OK
reaching_high_sculpture_fps2,frame_060-frame_061,1500,1089,0.726,0.412,OK
reaching_high_sculpture_fps2,frame_061-frame_062,1500,1211,0.807,0.256,OK
reaching_high_sculpture_fps2,frame_062-frame_063,1500,1241,0.827,0.453,OK
reaching_high_sculpture_fps2,frame_063-frame_064,1500,1249,0.833,0.496,OK
reaching_high_sculpture_fps2,frame_064-frame_065,1500,1253,0.835,0.382,OK
reaching_high_sculpture_fps2,frame_065-frame_066,1500,1128,0.752,0.176,OK
reaching_high_sculpture_fps2,frame_066-frame_067,1500,1224,0.816,0.287,OK
reaching_high_sculpture_fps2,frame_067-frame_068,1500,1167,0.778,0.407,OK
reaching_high_sculpture_fps2,frame_068-frame_069,1500,1124,0.749,0.442,OK
reaching_high_sculpture_fps2,frame_069-frame_070,1500,1307,0.871,0.35,OK
reaching_high_sculpture_fps2,frame_070-frame_071,1500,1252,0.835,0.189,OK
reaching_high_sculpture_fps2,frame_071-frame_072,1500,1187,0.791,0.461,OK
reaching_high_sculpture_fps2,frame_072-frame_073,1500,1301,0.867,0.152,OK
reaching_high_sculpture_fps2,frame_073-frame_074,1500,1300,0.867,0.281,OK
reaching_high_sculpture_fps2,frame_074-frame_075,1500,1340,0.893,0.391,OK
reaching_high_sculpture_fps2,frame_075-frame_076,1500,1198,0.799,0.35,OK
reaching_high_sculpture_fps2,frame_076-frame_077,1500,1230,0.82,0.367,OK
reaching_high_sculpture_fps2,frame_077-frame_078,1500,1321,0.881,0.387,OK
reaching_high_sculpture_fps2,frame_078-frame_080,1500,1291,0.861,0.336,OK
reaching_high_sculpture_fps2,frame_080-frame_081,1500,1144,0.763,0.321,OK
reaching_high_sculpture_fps2,frame_081-frame_082,1500,1221,0.814,0.313,OK
reaching_high_sculpture_fps2,frame_082-frame_083,1500,1192,0.795,0.276,OK
reaching_high_sculpture_fps2,frame_083-frame_084,1500,1096,0.731,0.285,OK
reaching_high_sculpture_fps2,frame_084-frame_085,1500,1296,0.864,0.34,OK
reaching_high_sculpture_fps2,frame_085-frame_086,1500,1239,0.826,0.511,OK
reaching_high_sculpture_fps2,frame_086-frame_087,1500,1256,0.837,0.3,OK
reaching_high_sculpture_fps2,frame_087-frame_088,1500,1302,0.868,0.312,OK
reaching_high_sculpture_fps2,frame_088-frame_089,1500,1301,0.867,0.361,OK
reaching_high_sculpture_fps2,frame_089-frame_090,1500,1206,0.804,0.391,OK
reaching_high_sculpture_fps2,frame_090-frame_091,1500,1307,0.871,0.356,OK
reaching_high_sculpture_fps2,frame_091-frame_092,1500,1155,0.77,0.299,OK
reaching_high_sculpture_fps2,frame_092-frame_093,1500,1319,0.879,0.27,OK
reaching_high_sculpture_fps2,frame_093-frame_094,1500,1338,0.892,0.558,OK
reaching_high_sculpture_fps2,frame_094-frame_095,1500,1312,0.875,0.329,OK
reaching_high_sculpture_fps2,frame_095-frame_096,1500,1169,0.779,0.374,OK
reaching_high_sculpture_fps2,frame_096-frame_097,1500,1196,0.797,0.209,OK
reaching_high_sculpture_fps2,frame_097-frame_098,1500,1353,0.902,0.319,OK
