scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
reaching_high_sculpture_fps2,frame_001-frame_006 (non-sequential),500,371,0.742,0.39,OK
reaching_high_sculpture_fps2,frame_006-frame_011 (non-sequential),500,316,0.632,2.089,OK
reaching_high_sculpture_fps2,frame_011-frame_016 (non-sequential),500,349,0.698,0.27,OK
reaching_high_sculpture_fps2,frame_016-frame_021 (non-sequential),500,310,0.62,0.718,OK
reaching_high_sculpture_fps2,frame_021-frame_026 (non-sequential),500,309,0.618,0.333,OK
reaching_high_sculpture_fps2,frame_026-frame_031 (non-sequential),500,292,0.584,0.369,OK
reaching_high_sculpture_fps2,frame_031-frame_036 (non-sequential),500,287,0.574,1.594,OK
reaching_high_sculpture_fps2,frame_036-frame_041 (non-sequential),500,269,0.538,0.33,OK
reaching_high_sculpture_fps2,frame_041-frame_046 (non-sequential),500,306,0.612,0.496,OK
reaching_high_sculpture_fps2,frame_046-frame_051 (non-sequential),500,301,0.602,0.517,OK
reaching_high_sculpture_fps2,frame_051-frame_056 (non-sequential),500,319,0.638,0.769,OK
reaching_high_sculpture_fps2,frame_056-frame_061 (non-sequential),500,312,0.624,0.927,OK
reaching_high_sculpture_fps2,frame_061-frame_066 (non-sequential),500,339,0.678,0.501,OK
reaching_high_sculpture_fps2,frame_066-frame_071 (non-sequential),500,344,0.688,0.554,OK
reaching_high_sculpture_fps2,frame_071-frame_076 (non-sequential),500,300,0.6,0.62,OK
reaching_high_sculpture_fps2,frame_076-frame_081 (non-sequential),500,350,0.7,0.258,OK
reaching_high_sculpture_fps2,frame_081-frame_086 (non-sequential),500,273,0.546,0.896,OK
reaching_high_sculpture_fps2,frame_086-frame_091 (non-sequential),500,328,0.656,0.333,OK
reaching_high_sculpture_fps2,frame_091-frame_096 (non-sequential),500,284,0.568,0.265,OK
reaching_high_sculpture_fps2,frame_096-frame_101 (non-sequential),500,348,0.696,0.361,OK
reaching_high_sculpture_fps2,frame_101-frame_106 (non-sequential),500,292,0.584,0.773,OK
reaching_high_sculpture_fps2,frame_106-frame_111 (non-sequential),500,306,0.612,0.87,OK
reaching_high_sculpture_fps2,frame_111-frame_116 (non-sequential),500,332,0.664,0.432,OK
reaching_high_sculpture_fps2,frame_116-frame_121 (non-sequential),500,285,0.57,0.649,OK
reaching_high_sculpture_fps2,frame_121-frame_126 (non-sequential),500,283,0.566,0.292,OK
reaching_high_sculpture_fps2,frame_126-frame_131 (non-sequential),500,337,0.674,0.497,OK
reaching_high_sculpture_fps2,frame_131-frame_136 (non-sequential),500,316,0.632,0.792,OK
reaching_high_sculpture_fps2,frame_136-frame_141 (non-sequential),500,369,0.738,0.95,OK
reaching_high_sculpture_fps2,frame_141-frame_146 (non-sequential),500,311,0.622,0.573,OK
reaching_high_sculpture_fps2,frame_146-frame_151 (non-sequential),500,338,0.676,0.567,OK
reaching_high_sculpture_fps2,frame_151-frame_156 (non-sequential),500,321,0.642,0.381,OK
reaching_high_sculpture_fps2,frame_156-frame_161 (non-sequential),500,303,0.606,0.497,OK
reaching_high_sculpture_fps2,frame_161-frame_166 (non-sequential),500,291,0.582,0.309,OK
reaching_high_sculpture_fps2,frame_166-frame_171 (non-sequential),500,244,0.488,0.399,OK
reaching_high_sculpture_fps2,frame_171-frame_176 (non-sequential),500,298,0.596,0.309,OK
reaching_high_sculpture_fps2,frame_176-frame_181 (non-sequential),500,264,0.528,0.623,OK
reaching_high_sculpture_fps2,frame_181-frame_186 (non-sequential),500,257,0.514,1.94,OK
reaching_high_sculpture_fps2,frame_186-frame_191 (non-sequential),500,277,0.554,1.147,OK
reaching_high_sculpture_fps2,frame_191-frame_196 (non-sequential),500,326,0.652,0.41,OK
reaching_high_sculpture_fps2,frame_196-frame_201 (non-sequential),500,247,0.494,1.413,OK
reaching_high_sculpture_fps2,frame_201-frame_206 (non-sequential),500,306,0.612,0.313,OK
reaching_high_sculpture_fps2,frame_206-frame_211 (non-sequential),500,325,0.65,0.667,OK
reaching_high_sculpture_fps2,frame_211-frame_216 (non-sequential),500,369,0.738,0.527,OK
