scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
arch,frame_002-frame_003,500,369,0.738,0.683,OK
arch,frame_004-frame_005,500,336,0.672,0.464,OK
arch,frame_005-frame_006,500,346,0.692,0.613,OK
arch,frame_007-frame_008,500,276,0.552,3.417,OK
arch,frame_008-frame_009,500,309,0.618,4.521,OK
arch,frame_009-frame_010,500,313,0.626,6.713,OK
arch,frame_010-frame_011,500,300,0.6,3.264,OK
arch,frame_011-frame_012,500,295,0.59,1.099,OK
arch,frame_012-frame_013,500,323,0.646,1.582,OK
arch,frame_013-frame_014,500,302,0.604,5.29,OK
arch,frame_014-frame_015,500,311,0.622,3.458,OK
arch,frame_015-frame_016,500,314,0.628,4.518,OK
arch,frame_016-frame_017,500,283,0.566,6.516,OK
arch,frame_017-frame_018,500,288,0.576,1.571,OK
arch,frame_018-frame_019,500,286,0.572,4.687,OK
arch,frame_019-frame_020,500,291,0.582,0.416,OK
arch,frame_020-frame_021,500,295,0.59,1.106,OK
arch,frame_021-frame_022,500,311,0.622,2.431,OK
arch,frame_023-frame_024,500,333,0.666,2.021,OK
arch,frame_024-frame_025,500,274,0.548,1.791,OK
arch,frame_025-frame_026,500,295,0.59,0.578,OK
arch,frame_026-frame_027,500,290,0.58,1.752,OK
arch,frame_027-frame_028,500,280,0.56,0.637,OK
arch,frame_028-frame_029,500,301,0.602,0.421,OK
arch,frame_029-frame_030,500,298,0.596,0.556,OK
arch,frame_030-frame_031,500,295,0.59,1.254,OK
arch,frame_031-frame_032,500,272,0.544,1.389,OK
arch,frame_032-frame_033,500,263,0.526,4.741,OK
arch,frame_033-frame_034,500,283,0.566,2.51,OK
arch,frame_034-frame_035,500,300,0.6,0.737,OK
arch,frame_035-frame_036,500,292,0.584,1.821,OK
arch,frame_036-frame_037,500,327,0.654,2.725,OK
arch,frame_037-frame_038,500,274,0.548,0.449,OK
arch,frame_038-frame_039,500,284,0.568,0.87,OK
arch,frame_039-frame_040,479,206,0.43,1.454,OK
arch,frame_040-frame_041,333,169,0.508,0.374,OK
arch,frame_041-frame_042,500,291,0.582,1.05,OK
arch,frame_042-frame_043,500,315,0.63,1.137,OK
arch,frame_044-frame_045,500,304,0.608,16.476,OK
arch,frame_045-frame_046,500,305,0.61,2.04,OK
arch,frame_046-frame_047,500,299,0.598,0.981,OK
arch,frame_047-frame_048,500,268,0.536,1.524,OK
arch,frame_048-frame_049,500,284,0.568,0.875,OK
arch,frame_049-frame_050,500,284,0.568,0.601,OK
arch,frame_050-frame_051,500,334,0.668,0.837,OK
arch,frame_051-frame_052,500,292,0.584,0.443,OK
arch,frame_052-frame_053,500,305,0.61,0.583,OK
arch,frame_053-frame_054,500,298,0.596,0.425,OK
arch,frame_054-frame_055,500,339,0.678,0.497,OK
arch,frame_055-frame_056,500,338,0.676,0.714,OK
arch,frame_056-frame_057,500,334,0.668,1.434,OK
arch,frame_057-frame_058,500,303,0.606,1.747,OK
arch,frame_058-frame_059,500,285,0.57,5.505,OK
arch,frame_059-frame_060,500,318,0.636,5.264,OK
