scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
arch,frame_001-frame_003,500,362,0.724,2.365,OK
arch,frame_003-frame_004,500,327,0.654,0.327,OK
arch,frame_004-frame_005,500,340,0.68,0.572,OK
arch,frame_005-frame_006,500,305,0.61,0.94,OK
arch,frame_006-frame_008,500,221,0.442,2.687,OK
arch,frame_008-frame_009,500,259,0.518,3.597,OK
arch,frame_009-frame_010,500,287,0.574,5.457,OK
arch,frame_010-frame_011,500,291,0.582,2.821,OK
arch,frame_011-frame_012,500,296,0.592,2.406,OK
arch,frame_012-frame_013,500,305,0.61,2.148,OK
arch,frame_013-frame_014,500,276,0.552,2.763,OK
arch,frame_014-frame_015,500,300,0.6,3.932,OK
arch,frame_015-frame_016,500,273,0.546,4.489,OK
arch,frame_016-frame_017,500,273,0.546,4.168,OK
arch,frame_017-frame_018,500,296,0.592,3.145,OK
arch,frame_018-frame_019,500,296,0.592,4.52,OK
arch,frame_019-frame_020,500,341,0.682,0.366,OK
arch,frame_020-frame_021,500,304,0.608,0.378,OK
arch,frame_021-frame_023,500,294,0.588,1.364,OK
arch,frame_023-frame_024,500,329,0.658,1.633,OK
arch,frame_024-frame_025,500,308,0.616,0.65,OK
arch,frame_025-frame_026,500,304,0.608,0.716,OK
arch,frame_026-frame_027,500,271,0.542,1.861,OK
arch,frame_027-frame_028,500,266,0.532,0.612,OK
arch,frame_028-frame_029,500,274,0.548,0.456,OK
arch,frame_029-frame_030,500,280,0.56,0.469,OK
arch,frame_030-frame_031,500,295,0.59,0.423,OK
arch,frame_031-frame_032,500,294,0.588,0.513,OK
arch,frame_032-frame_033,500,240,0.48,0.8,OK
arch,frame_033-frame_034,500,290,0.58,0.459,OK
arch,frame_034-frame_035,500,319,0.638,3.314,OK
arch,frame_035-frame_036,500,269,0.538,3.804,OK
arch,frame_036-frame_037,500,311,0.622,2.001,OK
arch,frame_037-frame_038,500,282,0.564,0.484,OK
arch,frame_038-frame_039,500,275,0.55,0.809,OK
arch,frame_039-frame_040,500,211,0.422,7.131,OK
arch,frame_040-frame_041,500,241,0.482,0.482,OK
arch,frame_041-frame_042,500,273,0.546,0.612,OK
arch,frame_042-frame_043,500,309,0.618,0.826,OK
arch,frame_043-frame_045,500,283,0.566,1.321,OK
arch,frame_045-frame_046,500,276,0.552,0.771,OK
arch,frame_046-frame_047,500,303,0.606,0.672,OK
arch,frame_047-frame_048,500,260,0.52,0.837,OK
arch,frame_048-frame_049,500,258,0.516,0.652,OK
arch,frame_049-frame_050,500,269,0.538,0.471,OK
arch,frame_050-frame_051,500,292,0.584,0.443,OK
arch,frame_051-frame_052,500,297,0.594,0.612,OK
arch,frame_052-frame_053,500,292,0.584,0.522,OK
arch,frame_053-frame_054,500,274,0.548,0.439,OK
arch,frame_054-frame_055,500,289,0.578,0.444,OK
arch,frame_055-frame_056,500,296,0.592,0.439,OK
arch,frame_056-frame_057,500,314,0.628,0.564,OK
arch,frame_057-frame_058,500,285,0.57,1.011,OK
arch,frame_058-frame_059,500,296,0.592,1.225,OK
arch,frame_059-frame_060,500,268,0.536,4.054,OK
arch,frame_060-frame_061,500,316,0.632,1.836,OK
arch,frame_061-frame_062,500,289,0.578,0.641,OK
arch,frame_062-frame_063,500,318,0.636,0.633,OK
arch,frame_063-frame_064,500,268,0.536,3.602,OK
arch,frame_064-frame_065,500,296,0.592,4.866,OK
arch,frame_065-frame_066,500,300,0.6,3.05,OK
arch,frame_066-frame_067,500,276,0.552,2.017,OK
arch,frame_067-frame_068,500,270,0.54,1.73,OK
arch,frame_068-frame_069,500,304,0.608,2.318,OK
