scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
chinese_heritage_centre,frame_001-frame_003,1000,951,0.951,2.578,OK
chinese_heritage_centre,frame_003-frame_005,1000,896,0.896,0.363,OK
chinese_heritage_centre,frame_005-frame_007,1000,830,0.83,0.392,OK
chinese_heritage_centre,frame_007-frame_009,1000,868,0.868,0.274,OK
chinese_heritage_centre,frame_009-frame_011,1000,779,0.779,0.877,OK
chinese_heritage_centre,frame_011-frame_013,1000,860,0.86,0.746,OK
chinese_heritage_centre,frame_013-frame_015,1000,793,0.793,0.573,OK
chinese_heritage_centre,frame_015-frame_017,1000,808,0.808,0.801,OK
chinese_heritage_centre,frame_017-frame_019,1000,799,0.799,0.233,OK
chinese_heritage_centre,frame_019-frame_021,1000,900,0.9,0.412,OK
chinese_heritage_centre,frame_021-frame_023,1000,814,0.814,0.707,OK
chinese_heritage_centre,frame_023-frame_025,1000,859,0.859,2.247,OK
chinese_heritage_centre,frame_025-frame_027,1000,871,0.871,0.342,OK
chinese_heritage_centre,frame_027-frame_029,1000,863,0.863,0.28,OK
chinese_heritage_centre,frame_029-frame_031,1000,736,0.736,0.292,OK
chinese_heritage_centre,frame_031-frame_033,1000,850,0.85,3.831,OK
chinese_heritage_centre,frame_033-frame_035,1000,885,0.885,0.819,OK
chinese_heritage_centre,frame_035-frame_037,1000,838,0.838,0.316,OK
chinese_heritage_centre,frame_037-frame_039,1000,839,0.839,0.226,OK
chinese_heritage_centre,frame_039-frame_041,1000,854,0.854,1.826,OK
chinese_heritage_centre,frame_041-frame_043,1000,797,0.797,0.425,OK
chinese_heritage_centre,frame_043-frame_045,1000,829,0.829,0.282,OK
chinese_heritage_centre,frame_045-frame_047,1000,771,0.771,0.28,OK
chinese_heritage_centre,frame_047-frame_049,1000,844,0.844,0.266,OK
chinese_heritage_centre,frame_049-frame_051,1000,756,0.756,1.62,OK
chinese_heritage_centre,frame_051-frame_053,1000,747,0.747,0.328,OK
chinese_heritage_centre,frame_053-frame_055,1000,789,0.789,0.376,OK
chinese_heritage_centre,frame_055-frame_057,1000,871,0.871,0.911,OK
chinese_heritage_centre,frame_057-frame_059,1000,853,0.853,0.775,OK
chinese_heritage_centre,frame_059-frame_061,1000,803,0.803,0.32,OK
chinese_heritage_centre,frame_061-frame_063,1000,816,0.816,0.358,OK
chinese_heritage_centre,frame_063-frame_065,1000,839,0.839,0.312,OK
chinese_heritage_centre,frame_065-frame_067,1000,754,0.754,0.33,OK
