scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
pavilion,frame_001-frame_002,500,417,0.834,1.728,OK
pavilion,frame_002-frame_003,500,389,0.778,0.309,OK
pavilion,frame_003-frame_004,500,465,0.93,0.293,OK
pavilion,frame_004-frame_005,500,401,0.802,0.513,OK
pavilion,frame_005-frame_006,500,404,0.808,0.219,OK
pavilion,frame_006-frame_007,500,376,0.752,0.245,OK
pavilion,frame_007-frame_008,500,383,0.766,0.262,OK
pavilion,frame_008-frame_009,500,462,0.924,0.416,OK
pavilion,frame_009-frame_010,500,411,0.822,0.235,OK
pavilion,frame_010-frame_011,500,393,0.786,0.305,OK
pavilion,frame_011-frame_012,500,342,0.684,0.503,OK
pavilion,frame_012-frame_013,500,354,0.708,0.6,OK
pavilion,frame_013-frame_014,500,437,0.874,0.371,OK
pavilion,frame_014-frame_015,500,431,0.862,0.237,OK
pavilion,frame_015-frame_016,500,369,0.738,0.299,OK
pavilion,frame_016-frame_017,500,394,0.788,0.284,OK
pavilion,frame_017-frame_018,500,380,0.76,0.522,OK
pavilion,frame_018-frame_019,500,385,0.77,0.282,OK
pavilion,frame_019-frame_020,500,429,0.858,0.211,OK
pavilion,frame_020-frame_021,500,409,0.818,0.506,OK
pavilion,frame_021-frame_022,500,386,0.772,0.283,OK
pavilion,frame_022-frame_023,500,366,0.732,0.335,OK
pavilion,frame_023-frame_024,500,394,0.788,0.386,OK
pavilion,frame_024-frame_025,500,360,0.72,0.357,OK
pavilion,frame_025-frame_026,500,345,0.69,0.389,OK
pavilion,frame_026-frame_027,500,389,0.778,0.389,OK
pavilion,frame_027-frame_028,500,332,0.664,0.285,OK
pavilion,frame_028-frame_029,500,350,0.7,0.38,OK
pavilion,frame_029-frame_030,500,352,0.704,0.292,OK
pavilion,frame_030-frame_031,500,392,0.784,0.414,OK
pavilion,frame_031-frame_032,500,393,0.786,0.376,OK
pavilion,frame_032-frame_033,500,379,0.758,0.283,OK
pavilion,frame_033-frame_034,500,345,0.69,0.353,OK
pavilion,frame_034-frame_035,500,380,0.76,0.304,OK
pavilion,frame_035-frame_036,500,367,0.734,0.415,OK
pavilion,frame_036-frame_037,500,348,0.696,0.438,OK
pavilion,frame_037-frame_038,500,324,0.648,0.586,OK
pavilion,frame_038-frame_039,500,378,0.756,0.338,OK
pavilion,frame_039-frame_040,500,360,0.72,0.25,OK
pavilion,frame_040-frame_041,500,339,0.678,0.241,OK
pavilion,frame_041-frame_042,500,367,0.734,0.388,OK
pavilion,frame_042-frame_043,500,386,0.772,0.418,OK
pavilion,frame_043-frame_044,500,388,0.776,0.465,OK
pavilion,frame_044-frame_045,500,427,0.854,0.337,OK
pavilion,frame_045-frame_046,500,428,0.856,0.344,OK
pavilion,frame_046-frame_047,500,409,0.818,0.313,OK
pavilion,frame_047-frame_048,500,422,0.844,0.278,OK
pavilion,frame_048-frame_049,500,415,0.83,0.25,OK
pavilion,frame_049-frame_050,500,385,0.77,0.317,OK
pavilion,frame_050-frame_051,500,403,0.806,0.434,OK
pavilion,frame_051-frame_052,500,373,0.746,0.611,OK
pavilion,frame_052-frame_053,500,370,0.74,0.987,OK
pavilion,frame_053-frame_054,500,377,0.754,0.509,OK
pavilion,frame_054-frame_055,500,341,0.682,0.456,OK
pavilion,frame_055-frame_056,500,393,0.786,0.276,OK
pavilion,frame_056-frame_057,500,365,0.73,0.272,OK
pavilion,frame_057-frame_058,500,426,0.852,0.366,OK
pavilion,frame_058-frame_059,500,392,0.784,0.225,OK
pavilion,frame_059-frame_060,500,333,0.666,0.405,OK
pavilion,frame_060-frame_061,500,430,0.86,0.305,OK
pavilion,frame_061-frame_062,500,410,0.82,0.341,OK
pavilion,frame_062-frame_063,500,420,0.84,0.298,OK
pavilion,frame_063-frame_064,500,377,0.754,0.353,OK
pavilion,frame_064-frame_065,500,374,0.748,0.264,OK
pavilion,frame_065-frame_066,500,353,0.706,0.358,OK
pavilion,frame_066-frame_067,500,351,0.702,0.302,OK
pavilion,frame_067-frame_068,500,379,0.758,0.439,OK
pavilion,frame_068-frame_069,500,376,0.752,0.318,OK
pavilion,frame_069-frame_070,500,365,0.73,0.47,OK
pavilion,frame_070-frame_071,500,387,0.774,0.436,OK
pavilion,frame_071-frame_072,500,339,0.678,0.34,OK
pavilion,frame_072-frame_073,500,372,0.744,0.282,OK
pavilion,frame_073-frame_074,500,356,0.712,0.3,OK
pavilion,frame_074-frame_075,500,374,0.748,0.241,OK
pavilion,frame_075-frame_076,500,355,0.71,0.205,OK
pavilion,frame_076-frame_077,460,326,0.709,0.516,OK
pavilion,frame_077-frame_078,493,354,0.718,0.259,OK
pavilion,frame_078-frame_079,322,224,0.696,0.29,OK
pavilion,frame_079-frame_080,457,365,0.799,0.401,OK
pavilion,frame_080-frame_081,439,350,0.797,0.424,OK
pavilion,frame_081-frame_082,500,397,0.794,0.262,OK
pavilion,frame_082-frame_083,404,292,0.723,1.479,OK
pavilion,frame_083-frame_084,317,226,0.713,0.416,OK
pavilion,frame_084-frame_085,305,226,0.741,0.317,OK
pavilion,frame_085-frame_086,381,272,0.714,0.48,OK
pavilion,frame_086-frame_087,359,258,0.719,0.743,OK
pavilion,frame_087-frame_088,237,158,0.667,0.452,OK
pavilion,frame_088-frame_089,223,146,0.655,1.136,OK
pavilion,frame_089-frame_090,219,151,0.689,0.272,OK
pavilion,frame_090-frame_091,242,164,0.678,0.205,OK
pavilion,frame_091-frame_092,255,194,0.761,0.239,OK
pavilion,frame_092-frame_093,336,258,0.768,0.558,OK
pavilion,frame_093-frame_094,415,287,0.692,0.279,OK
pavilion,frame_094-frame_095,500,355,0.71,0.369,OK
pavilion,frame_095-frame_096,500,348,0.696,0.741,OK
pavilion,frame_096-frame_097,500,331,0.662,0.499,OK
pavilion,frame_097-frame_098,500,350,0.7,0.365,OK
pavilion,frame_098-frame_099,500,386,0.772,0.352,OK
pavilion,frame_099-frame_100,500,369,0.738,0.268,OK
pavilion,frame_100-frame_101,500,322,0.644,0.472,OK
pavilion,frame_101-frame_102,500,352,0.704,0.376,OK
pavilion,frame_102-frame_103,500,365,0.73,0.365,OK
pavilion,frame_103-frame_104,500,367,0.734,0.267,OK
pavilion,frame_104-frame_105,500,357,0.714,0.49,OK
pavilion,frame_105-frame_106,499,359,0.719,0.361,OK
pavilion,frame_106-frame_107,414,301,0.727,0.757,OK
pavilion,frame_107-frame_108,327,228,0.697,0.309,OK
pavilion,frame_108-frame_109,290,235,0.81,0.555,OK
pavilion,frame_109-frame_110,500,365,0.73,0.323,OK
pavilion,frame_110-frame_111,453,318,0.702,0.279,OK
pavilion,frame_111-frame_112,500,386,0.772,0.572,OK
pavilion,frame_112-frame_113,444,333,0.75,0.549,OK
pavilion,frame_113-frame_114,500,349,0.698,0.348,OK
pavilion,frame_114-frame_115,500,333,0.666,0.274,OK
pavilion,frame_115-frame_116,500,375,0.75,1.193,OK
pavilion,frame_116-frame_117,500,379,0.758,0.49,OK
pavilion,frame_117-frame_118,500,374,0.748,0.413,OK
pavilion,frame_118-frame_119,500,405,0.81,0.964,OK
pavilion,frame_119-frame_120,500,328,0.656,0.316,OK
pavilion,frame_120-frame_121,500,375,0.75,0.34,OK
pavilion,frame_121-frame_122,500,324,0.648,0.529,OK
pavilion,frame_122-frame_123,500,306,0.612,0.343,OK
pavilion,frame_123-frame_124,500,367,0.734,0.374,OK
pavilion,frame_124-frame_125,500,307,0.614,0.401,OK
pavilion,frame_125-frame_126,500,348,0.696,0.297,OK
pavilion,frame_126-frame_127,500,380,0.76,0.292,OK
pavilion,frame_127-frame_128,500,325,0.65,0.315,OK
pavilion,frame_128-frame_129,500,371,0.742,0.471,OK
pavilion,frame_129-frame_130,500,334,0.668,0.346,OK
pavilion,frame_130-frame_131,500,325,0.65,0.49,OK
pavilion,frame_131-frame_132,500,311,0.622,0.288,OK
pavilion,frame_132-frame_133,500,344,0.688,0.356,OK
pavilion,frame_133-frame_134,500,351,0.702,0.291,OK
pavilion,frame_134-frame_135,500,348,0.696,0.355,OK
pavilion,frame_135-frame_136,500,352,0.704,0.385,OK
pavilion,frame_136-frame_137,500,330,0.66,0.439,OK
pavilion,frame_137-frame_138,500,325,0.65,0.509,OK
pavilion,frame_138-frame_139,500,389,0.778,0.349,OK
pavilion,frame_139-frame_140,500,351,0.702,0.348,OK
pavilion,frame_140-frame_141,500,330,0.66,0.338,OK
pavilion,frame_141-frame_142,500,348,0.696,0.3,OK
pavilion,frame_142-frame_143,500,347,0.694,0.343,OK
pavilion,frame_143-frame_144,500,324,0.648,0.333,OK
pavilion,frame_144-frame_145,500,375,0.75,0.302,OK
pavilion,frame_145-frame_146,500,387,0.774,0.367,OK
pavilion,frame_146-frame_147,500,413,0.826,0.464,OK
pavilion,frame_147-frame_148,500,375,0.75,0.42,OK
pavilion,frame_148-frame_149,500,363,0.726,0.277,OK
pavilion,frame_149-frame_150,500,386,0.772,0.568,OK
pavilion,frame_150-frame_151,500,367,0.734,0.292,OK
pavilion,frame_151-frame_152,500,351,0.702,0.255,OK
pavilion,frame_152-frame_153,500,363,0.726,0.331,OK
pavilion,frame_153-frame_154,500,354,0.708,1.916,OK
pavilion,frame_154-frame_155,500,380,0.76,0.447,OK
pavilion,frame_155-frame_156,500,367,0.734,0.352,OK
pavilion,frame_156-frame_157,500,381,0.762,0.282,OK
pavilion,frame_157-frame_158,500,403,0.806,0.441,OK
pavilion,frame_158-frame_159,500,406,0.812,0.28,OK
pavilion,frame_159-frame_160,500,395,0.79,0.376,OK
pavilion,frame_160-frame_161,500,415,0.83,0.342,OK
pavilion,frame_161-frame_162,500,387,0.774,0.258,OK
pavilion,frame_162-frame_163,500,420,0.84,0.277,OK
pavilion,frame_163-frame_164,500,356,0.712,0.379,OK
pavilion,frame_164-frame_165,500,396,0.792,0.562,OK
pavilion,frame_165-frame_166,500,407,0.814,0.409,OK
pavilion,frame_166-frame_167,500,348,0.696,0.392,OK
pavilion,frame_167-frame_168,500,396,0.792,0.284,OK
pavilion,frame_168-frame_169,500,367,0.734,0.455,OK
pavilion,frame_169-frame_170,500,378,0.756,0.397,OK
pavilion,frame_170-frame_171,500,392,0.784,0.264,OK
pavilion,frame_171-frame_172,500,399,0.798,0.598,OK
pavilion,frame_172-frame_173,500,348,0.696,0.35,OK
pavilion,frame_173-frame_174,500,364,0.728,0.439,OK
pavilion,frame_174-frame_175,500,372,0.744,0.392,OK
pavilion,frame_175-frame_176,500,383,0.766,0.408,OK
pavilion,frame_176-frame_177,500,399,0.798,0.314,OK
pavilion,frame_177-frame_178,500,346,0.692,0.484,OK
pavilion,frame_178-frame_179,500,387,0.774,0.299,OK
pavilion,frame_179-frame_180,500,354,0.708,0.244,OK
pavilion,frame_180-frame_181,500,371,0.742,0.359,OK
pavilion,frame_181-frame_182,500,366,0.732,0.64,OK
pavilion,frame_182-frame_183,500,392,0.784,0.376,OK
pavilion,frame_183-frame_184,500,344,0.688,0.401,OK
pavilion,frame_184-frame_185,500,378,0.756,0.241,OK
pavilion,frame_185-frame_186,500,423,0.846,0.336,OK
pavilion,frame_186-frame_187,500,376,0.752,0.437,OK
pavilion,frame_187-frame_188,500,417,0.834,0.391,OK
pavilion,frame_188-frame_189,500,437,0.874,0.433,OK
pavilion,frame_189-frame_190,500,376,0.752,0.234,OK
pavilion,frame_190-frame_191,500,421,0.842,0.592,OK
pavilion,frame_191-frame_192,500,400,0.8,0.27,OK
pavilion,frame_192-frame_193,500,404,0.808,0.406,OK
