scene,pair,num_matches,inlier_count,inlier_ratio,reproj_error,status
sculpture,frame_002-frame_003,2420,1245,0.514,0.451,OK
sculpture,frame_003-frame_004,2493,1353,0.543,0.429,OK
sculpture,frame_004-frame_005,2436,1285,0.528,0.642,OK
sculpture,frame_005-frame_006,2320,1132,0.488,0.374,OK
sculpture,frame_006-frame_007,2647,1288,0.487,0.48,OK
sculpture,frame_007-frame_008,2500,1294,0.518,0.572,OK
sculpture,frame_008-frame_009,2938,1459,0.497,0.475,OK
sculpture,frame_009-frame_010,2583,1352,0.523,0.627,OK
sculpture,frame_010-frame_011,2558,1312,0.513,0.508,OK
sculpture,frame_011-frame_012,2445,1316,0.538,0.436,OK
sculpture,frame_012-frame_013,2562,1379,0.538,0.521,OK
sculpture,frame_013-frame_014,2656,1301,0.49,0.699,OK
sculpture,frame_014-frame_015,2603,1296,0.498,0.534,OK
sculpture,frame_015-frame_016,2687,1346,0.501,0.514,OK
sculpture,frame_016-frame_017,2566,1368,0.533,0.46,OK
sculpture,frame_017-frame_018,2645,1411,0.533,0.518,OK
sculpture,frame_018-frame_019,2541,1278,0.503,0.539,OK
sculpture,frame_019-frame_020,2800,1385,0.495,0.626,OK
sculpture,frame_020-frame_021,2943,1286,0.437,0.61,OK
sculpture,frame_021-frame_022,2535,1325,0.523,0.576,OK
sculpture,frame_022-frame_023,2611,1603,0.614,0.684,OK
sculpture,frame_023-frame_024,2573,1240,0.482,0.532,OK
sculpture,frame_024-frame_025,2545,1276,0.501,0.441,OK
sculpture,frame_025-frame_026,2521,1340,0.532,0.421,OK
sculpture,frame_026-frame_027,2554,1315,0.515,0.359,OK
sculpture,frame_027-frame_028,2474,1301,0.526,0.472,OK
sculpture,frame_028-frame_029,2758,1376,0.499,0.666,OK
sculpture,frame_029-frame_030,2777,1406,0.506,0.437,OK
sculpture,frame_030-frame_031,3055,1424,0.466,0.466,OK
sculpture,frame_031-frame_032,2625,1275,0.486,0.683,OK
sculpture,frame_032-frame_033,2478,1243,0.502,0.37,OK
sculpture,frame_033-frame_034,2520,1212,0.481,0.508,OK
sculpture,frame_034-frame_035,2478,1239,0.5,0.508,OK
sculpture,frame_035-frame_036,2459,1257,0.511,0.437,OK
sculpture,frame_036-frame_037,2805,1327,0.473,0.409,OK
sculpture,frame_037-frame_038,2461,1304,0.53,0.607,OK
sculpture,frame_038-frame_039,2627,1129,0.43,0.709,OK
sculpture,frame_039-frame_040,2126,899,0.423,0.578,OK
sculpture,frame_041-frame_042,2529,1308,0.517,0.538,OK
sculpture,frame_042-frame_043,2380,1186,0.498,0.454,OK
sculpture,frame_043-frame_044,2468,1250,0.506,0.527,OK
sculpture,frame_044-frame_045,2269,1199,0.528,0.509,OK
sculpture,frame_045-frame_046,2252,1174,0.521,0.581,OK
sculpture,frame_046-frame_047,2574,1305,0.507,0.442,OK
sculpture,frame_047-frame_048,2681,1416,0.528,0.495,OK
sculpture,frame_048-frame_049,2636,1377,0.522,0.557,OK
sculpture,frame_049-frame_050,2521,1345,0.534,0.516,OK
sculpture,frame_050-frame_051,2588,1255,0.485,0.595,OK
sculpture,frame_051-frame_052,2530,1339,0.529,0.546,OK
sculpture,frame_052-frame_053,2592,1350,0.521,0.493,OK
sculpture,frame_053-frame_054,2733,1334,0.488,0.401,OK
sculpture,frame_054-frame_055,2470,1285,0.52,0.72,OK
sculpture,frame_055-frame_056,2581,1332,0.516,0.578,OK
sculpture,frame_056-frame_057,2756,1313,0.476,0.608,OK
sculpture,frame_057-frame_058,2517,1293,0.514,0.57,OK
sculpture,frame_058-frame_059,2521,1274,0.505,0.521,OK
sculpture,frame_059-frame_060,2381,1203,0.505,0.476,OK
sculpture,frame_060-frame_061,2448,1253,0.512,0.538,OK
sculpture,frame_061-frame_062,2576,1393,0.541,0.502,OK
sculpture,frame_062-frame_063,2615,1330,0.509,0.321,OK
sculpture,frame_063-frame_064,2526,1316,0.521,0.427,OK
sculpture,frame_064-frame_065,2517,1297,0.515,0.543,OK
sculpture,frame_065-frame_066,2536,1346,0.531,0.451,OK
sculpture,frame_066-frame_067,2578,1347,0.522,0.495,OK
sculpture,frame_067-frame_068,2617,1411,0.539,0.613,OK
sculpture,frame_068-frame_069,2879,1420,0.493,0.727,OK
sculpture,frame_069-frame_070,2953,1427,0.483,0.555,OK
sculpture,frame_070-frame_071,2549,1246,0.489,0.415,OK
sculpture,frame_071-frame_072,2849,1312,0.461,0.535,OK
sculpture,frame_072-frame_073,2456,1201,0.489,0.564,OK
sculpture,frame_073-frame_074,2640,1231,0.466,0.549,OK
sculpture,frame_074-frame_075,2658,1305,0.491,0.393,OK
sculpture,frame_075-frame_076,2607,1342,0.515,0.435,OK
sculpture,frame_076-frame_077,2502,1287,0.514,0.485,OK
sculpture,frame_077-frame_078,2732,1327,0.486,0.738,OK
sculpture,frame_078-frame_079,2424,1206,0.498,0.479,OK
sculpture,frame_079-frame_080,2314,1260,0.545,0.592,OK
sculpture,frame_080-frame_081,2343,1180,0.504,0.416,OK
sculpture,frame_081-frame_082,2075,1122,0.541,0.658,OK
sculpture,frame_082-frame_083,1761,895,0.508,0.583,OK
sculpture,frame_083-frame_084,1845,955,0.518,0.506,OK
sculpture,frame_084-frame_085,2365,1059,0.448,0.522,OK
sculpture,frame_085-frame_086,2314,1114,0.481,0.615,OK
sculpture,frame_086-frame_087,2362,1046,0.443,0.343,OK
sculpture,frame_087-frame_088,2152,823,0.382,0.622,OK
sculpture,frame_088-frame_089,2239,968,0.432,0.741,OK
sculpture,frame_089-frame_090,2193,944,0.43,0.532,OK
sculpture,frame_091-frame_092,2327,1062,0.456,0.463,OK
sculpture,frame_092-frame_093,2155,1070,0.497,0.591,OK
sculpture,frame_093-frame_094,2015,948,0.47,0.486,OK
sculpture,frame_094-frame_095,1959,942,0.481,0.529,OK
sculpture,frame_095-frame_096,2134,1058,0.496,0.568,OK
sculpture,frame_096-frame_097,2338,1248,0.534,0.425,OK
sculpture,frame_097-frame_098,2505,1252,0.5,0.597,OK
sculpture,frame_098-frame_099,2630,1508,0.573,0.595,OK
sculpture,frame_099-frame_100,2804,1309,0.467,0.588,OK
sculpture,frame_100-frame_101,2532,1359,0.537,0.507,OK
sculpture,frame_101-frame_102,2895,1447,0.5,0.38,OK
sculpture,frame_102-frame_103,2489,1228,0.493,0.481,OK
sculpture,frame_103-frame_104,2458,1265,0.515,0.452,OK
sculpture,frame_104-frame_105,2621,1315,0.502,0.675,OK
sculpture,frame_105-frame_106,2594,1351,0.521,0.559,OK
sculpture,frame_106-frame_107,2462,1281,0.52,0.577,OK
sculpture,frame_107-frame_108,2604,1392,0.535,0.432,OK
sculpture,frame_108-frame_109,2397,1166,0.486,0.528,OK
sculpture,frame_109-frame_110,2448,1212,0.495,0.769,OK
sculpture,frame_110-frame_111,2478,1233,0.498,0.624,OK
sculpture,frame_111-frame_112,2526,1213,0.48,0.608,OK
sculpture,frame_112-frame_113,2512,1277,0.508,0.653,OK
sculpture,frame_113-frame_114,2328,1225,0.526,0.463,OK
sculpture,frame_114-frame_115,2133,1107,0.519,0.47,OK
sculpture,frame_115-frame_116,2156,1151,0.534,0.328,OK
sculpture,frame_116-frame_117,2231,1115,0.5,0.427,OK
sculpture,frame_117-frame_118,2581,1255,0.486,0.479,OK
sculpture,frame_118-frame_119,2549,1273,0.499,0.738,OK
sculpture,frame_119-frame_120,2548,1257,0.493,0.593,OK
sculpture,frame_120-frame_121,2652,1288,0.486,0.475,OK
sculpture,frame_121-frame_122,2683,1335,0.498,0.623,OK
sculpture,frame_122-frame_123,2751,1362,0.495,0.404,OK
sculpture,frame_123-frame_124,2937,1493,0.508,0.985,OK
sculpture,frame_124-frame_125,2776,1428,0.514,0.463,OK
sculpture,frame_125-frame_126,2989,1542,0.516,0.318,OK
