scene,pair,num_matches,inlier_count,inlier_ratio,reproj_error,status
sculpture,frame_002-frame_003,1149,585,0.509,0.54,OK
sculpture,frame_003-frame_004,1073,566,0.527,0.566,OK
sculpture,frame_004-frame_005,1133,556,0.491,0.463,OK
sculpture,frame_005-frame_006,953,509,0.534,0.615,OK
sculpture,frame_006-frame_007,971,502,0.517,0.435,OK
sculpture,frame_007-frame_008,1091,564,0.517,0.805,OK
sculpture,frame_008-frame_009,967,464,0.48,1.196,OK
sculpture,frame_009-frame_010,1050,563,0.536,0.629,OK
sculpture,frame_010-frame_011,1122,598,0.533,0.339,OK
sculpture,frame_011-frame_012,1209,630,0.521,0.393,OK
sculpture,frame_012-frame_013,1113,545,0.49,0.668,OK
sculpture,frame_013-frame_014,1201,587,0.489,0.513,OK
sculpture,frame_014-frame_015,1061,506,0.477,0.518,OK
sculpture,frame_015-frame_016,1244,622,0.5,0.408,OK
sculpture,frame_016-frame_017,1192,596,0.5,0.57,OK
sculpture,frame_017-frame_018,1355,700,0.517,0.614,OK
sculpture,frame_018-frame_019,1125,566,0.503,0.423,OK
sculpture,frame_019-frame_020,1148,585,0.51,0.432,OK
sculpture,frame_020-frame_021,1080,608,0.563,1.135,OK
sculpture,frame_021-frame_022,1040,650,0.625,0.72,OK
sculpture,frame_022-frame_023,1162,596,0.513,0.514,OK
sculpture,frame_023-frame_024,1188,653,0.55,0.746,OK
sculpture,frame_024-frame_025,1163,547,0.47,0.548,OK
sculpture,frame_025-frame_026,1269,672,0.53,0.432,OK
sculpture,frame_026-frame_027,1312,627,0.478,0.475,OK
sculpture,frame_027-frame_028,1411,688,0.488,0.512,OK
sculpture,frame_028-frame_029,1303,686,0.526,0.497,OK
sculpture,frame_029-frame_030,1393,692,0.497,0.58,OK
sculpture,frame_030-frame_031,1327,682,0.514,0.939,OK
sculpture,frame_031-frame_032,1265,680,0.538,0.572,OK
sculpture,frame_032-frame_033,1166,627,0.538,0.495,OK
sculpture,frame_033-frame_034,1527,720,0.472,0.45,OK
sculpture,frame_034-frame_035,1309,691,0.528,0.469,OK
sculpture,frame_035-frame_036,1120,584,0.521,0.421,OK
sculpture,frame_036-frame_037,1230,654,0.532,0.272,OK
sculpture,frame_037-frame_038,1151,626,0.544,0.457,OK
sculpture,frame_038-frame_039,1163,722,0.621,0.632,OK
sculpture,frame_039-frame_040,1020,549,0.538,0.553,OK
sculpture,frame_040-frame_041,1105,524,0.474,0.554,OK
sculpture,frame_041-frame_042,1243,673,0.541,0.522,OK
sculpture,frame_042-frame_043,1145,612,0.534,0.473,OK
sculpture,frame_043-frame_044,1298,651,0.502,0.909,OK
sculpture,frame_044-frame_045,1393,721,0.518,0.376,OK
sculpture,frame_045-frame_046,1399,707,0.505,0.404,OK
sculpture,frame_046-frame_047,1257,636,0.506,0.37,OK
sculpture,frame_047-frame_048,1081,536,0.496,0.567,OK
sculpture,frame_048-frame_049,1582,824,0.521,0.642,OK
sculpture,frame_049-frame_050,1469,701,0.477,0.663,OK
sculpture,frame_050-frame_051,997,493,0.494,0.652,OK
sculpture,frame_051-frame_052,1080,528,0.489,0.464,OK
sculpture,frame_052-frame_053,1289,631,0.49,0.312,OK
sculpture,frame_053-frame_054,1225,533,0.435,0.579,OK
sculpture,frame_054-frame_055,1341,622,0.464,0.969,OK
sculpture,frame_055-frame_056,1250,597,0.478,0.446,OK
sculpture,frame_056-frame_057,1160,526,0.453,0.438,OK
sculpture,frame_057-frame_058,1317,668,0.507,0.48,OK
sculpture,frame_058-frame_059,1073,552,0.514,0.518,OK
sculpture,frame_059-frame_060,1069,510,0.477,0.418,OK
sculpture,frame_060-frame_061,1131,558,0.493,0.541,OK
sculpture,frame_061-frame_062,1241,634,0.511,0.494,OK
sculpture,frame_062-frame_063,1069,523,0.489,0.529,OK
sculpture,frame_063-frame_064,1144,559,0.489,0.556,OK
sculpture,frame_064-frame_065,1154,509,0.441,0.553,OK
sculpture,frame_065-frame_066,1165,556,0.477,0.562,OK
sculpture,frame_066-frame_067,1356,690,0.509,0.565,OK
sculpture,frame_067-frame_068,1215,567,0.467,0.494,OK
sculpture,frame_068-frame_069,1032,551,0.534,0.432,OK
sculpture,frame_069-frame_070,1214,618,0.509,0.543,OK
sculpture,frame_070-frame_071,1089,509,0.467,0.583,OK
sculpture,frame_071-frame_072,1016,484,0.476,0.678,OK
sculpture,frame_072-frame_073,1124,512,0.456,0.547,OK
sculpture,frame_073-frame_074,1086,503,0.463,0.523,OK
sculpture,frame_074-frame_075,1019,460,0.451,0.519,OK
sculpture,frame_075-frame_076,1224,633,0.517,0.574,OK
sculpture,frame_076-frame_077,1299,675,0.52,0.763,OK
sculpture,frame_077-frame_078,1572,783,0.498,0.705,OK
sculpture,frame_078-frame_079,1924,927,0.482,0.539,OK
sculpture,frame_079-frame_080,1531,752,0.491,0.54,OK
sculpture,frame_080-frame_081,1289,654,0.507,0.604,OK
sculpture,frame_081-frame_082,1431,717,0.501,0.584,OK
sculpture,frame_082-frame_083,1255,635,0.506,0.464,OK
sculpture,frame_083-frame_084,1173,625,0.533,0.566,OK
sculpture,frame_084-frame_085,1241,588,0.474,0.573,OK
sculpture,frame_085-frame_086,1272,569,0.447,0.608,OK
sculpture,frame_086-frame_087,1369,607,0.443,0.73,OK
sculpture,frame_087-frame_088,1401,690,0.493,0.436,OK
sculpture,frame_088-frame_089,1194,617,0.517,0.527,OK
sculpture,frame_089-frame_090,1206,571,0.473,0.488,OK
sculpture,frame_090-frame_091,1336,648,0.485,0.522,OK
sculpture,frame_091-frame_092,1251,627,0.501,0.555,OK
sculpture,frame_092-frame_093,1242,674,0.543,0.353,OK
sculpture,frame_093-frame_094,1398,718,0.514,0.612,OK
sculpture,frame_094-frame_095,1508,788,0.523,0.524,OK
sculpture,frame_095-frame_096,1510,790,0.523,0.48,OK
sculpture,frame_096-frame_097,1485,766,0.516,0.484,OK
sculpture,frame_097-frame_098,1493,728,0.488,0.757,OK
sculpture,frame_098-frame_099,1285,707,0.55,0.496,OK
sculpture,frame_099-frame_100,1515,748,0.494,0.621,OK
sculpture,frame_100-frame_101,1328,735,0.553,0.42,OK
sculpture,frame_101-frame_102,1445,670,0.464,0.548,OK
sculpture,frame_102-frame_103,1461,738,0.505,0.463,OK
sculpture,frame_103-frame_104,1589,840,0.529,0.52,OK
sculpture,frame_104-frame_105,1448,769,0.531,0.417,OK
sculpture,frame_105-frame_106,1426,726,0.509,0.423,OK
sculpture,frame_106-frame_107,1610,812,0.504,0.429,OK
sculpture,frame_107-frame_108,1483,775,0.523,0.645,OK
sculpture,frame_108-frame_109,1490,761,0.511,0.476,OK
sculpture,frame_109-frame_110,1638,800,0.488,0.488,OK
sculpture,frame_110-frame_111,1575,732,0.465,0.624,OK
sculpture,frame_111-frame_112,1371,678,0.495,0.62,OK
sculpture,frame_112-frame_113,1408,745,0.529,0.388,OK
sculpture,frame_113-frame_114,1384,648,0.468,0.598,OK
sculpture,frame_114-frame_115,1402,691,0.493,0.488,OK
sculpture,frame_115-frame_116,1495,717,0.48,0.584,OK
sculpture,frame_116-frame_117,1580,767,0.485,0.498,OK
sculpture,frame_117-frame_118,1556,709,0.456,0.496,OK
sculpture,frame_118-frame_119,1431,713,0.498,0.386,OK
sculpture,frame_119-frame_120,1565,770,0.492,0.557,OK
sculpture,frame_120-frame_121,1572,764,0.486,0.678,OK
sculpture,frame_121-frame_122,1518,755,0.497,0.573,OK
sculpture,frame_122-frame_123,1443,717,0.497,0.519,OK
sculpture,frame_123-frame_124,1501,709,0.472,0.574,OK
sculpture,frame_124-frame_125,1507,746,0.495,0.575,OK
sculpture,frame_125-frame_126,1589,727,0.458,0.609,OK
sculpture,frame_126-frame_127,1694,821,0.485,0.559,OK
sculpture,frame_127-frame_128,1792,808,0.451,0.347,OK
sculpture,frame_128-frame_129,1613,783,0.485,0.649,OK
sculpture,frame_129-frame_130,1517,717,0.473,0.523,OK
sculpture,frame_130-frame_131,1511,741,0.49,0.683,OK
sculpture,frame_131-frame_132,1559,744,0.477,0.473,OK
sculpture,frame_132-frame_133,1421,646,0.455,0.313,OK
sculpture,frame_133-frame_134,1404,682,0.486,0.604,OK
sculpture,frame_134-frame_135,1699,847,0.499,0.438,OK
sculpture,frame_135-frame_136,1675,795,0.475,0.447,OK
sculpture,frame_136-frame_137,1708,826,0.484,0.403,OK
sculpture,frame_137-frame_138,2085,1047,0.502,0.395,OK
sculpture,frame_138-frame_139,2112,1123,0.532,0.546,OK
sculpture,frame_139-frame_140,1753,844,0.481,0.53,OK
sculpture,frame_140-frame_141,1822,853,0.468,0.459,OK
sculpture,frame_141-frame_142,1837,930,0.506,0.432,OK
sculpture,frame_142-frame_143,1669,816,0.489,0.428,OK
sculpture,frame_143-frame_144,1602,783,0.489,0.413,OK
sculpture,frame_144-frame_145,1831,903,0.493,0.426,OK
sculpture,frame_145-frame_146,1477,741,0.502,0.438,OK
sculpture,frame_146-frame_147,1381,651,0.471,0.658,OK
sculpture,frame_147-frame_148,1510,760,0.503,0.547,OK
sculpture,frame_148-frame_149,1420,644,0.454,0.53,OK
sculpture,frame_149-frame_150,1472,724,0.492,0.413,OK
sculpture,frame_150-frame_151,1519,744,0.49,0.452,OK
sculpture,frame_151-frame_152,1578,792,0.502,0.687,OK
sculpture,frame_152-frame_153,1447,676,0.467,0.743,OK
sculpture,frame_153-frame_154,1551,740,0.477,0.406,OK
sculpture,frame_154-frame_155,1638,788,0.481,0.661,OK
sculpture,frame_155-frame_156,1765,810,0.459,0.59,OK
sculpture,frame_156-frame_157,1453,670,0.461,0.672,OK
sculpture,frame_157-frame_158,1615,840,0.52,0.601,OK
sculpture,frame_158-frame_159,1552,757,0.488,0.501,OK
sculpture,frame_159-frame_160,1449,700,0.483,0.562,OK
sculpture,frame_160-frame_161,1516,782,0.516,0.527,OK
sculpture,frame_161-frame_162,1590,813,0.511,0.408,OK
sculpture,frame_162-frame_163,1377,711,0.516,0.592,OK
sculpture,frame_163-frame_164,1456,684,0.47,0.443,OK
sculpture,frame_164-frame_165,1488,688,0.462,0.618,OK
sculpture,frame_165-frame_166,1621,777,0.479,0.479,OK
sculpture,frame_166-frame_167,1462,686,0.469,0.63,OK
sculpture,frame_167-frame_168,1571,786,0.5,0.508,OK
sculpture,frame_168-frame_169,1717,717,0.418,0.473,OK
sculpture,frame_169-frame_170,1538,719,0.467,0.642,OK
sculpture,frame_170-frame_171,1539,759,0.493,0.478,OK
